scenario_id,algorithm,runs,mean_area,std_area,mean_rel_volume_error,mean_rel_height_error,mean_monotonic_violation,mean_evals,mean_time_s,feasibility_rate,best_feasible_area,best_penalized_objective
S1,SA,10,7781.847185817265,4.693532529384567,0.0012463090573935946,0.0,0.0,10000.0,0.5087730646133423,0.5,7780.730869847986,212708.24835867947
S1,PSO,10,7950.104329953758,201.499407670772,0.015711496349966173,0.0,0.016704010530132506,10000.0,0.5382198333740235,0.2,7804.557658420586,215482.38829038435
S1,BFGS,10,7782.005334363648,5.439087049351964e-10,0.0015365468442729174,0.0,0.0,3302.6,0.1650689125061035,0.0,,211178.34048080776
S2,SA,10,7753.256122984077,9.269951477494917,5.492194878016885e-05,0.0,0.0,10000.0,0.41726663112640383,1.0,7744.009829480362,7744.066655231773
S2,PSO,10,9352.841178352128,524.7777127648834,0.06536113939309496,0.0,0.03909469189243531,10000.0,0.44440484046936035,0.4,9075.026775121967,8422.562867292345
S2,BFGS,10,8051.301709261499,532.4005660811742,0.0001485448788984114,0.0,0.0,3945.5,0.15743048191070558,1.0,7741.672759154888,7741.673480770329
S3,SA,10,7753.022568014375,21.3638662663423,3.4244263629866993e-05,0.0,0.0,10000.0,0.4156429052352905,1.0,7742.773501939608,7742.779029081367
S3,PSO,10,8258.12493006791,351.8010196554373,2.509363195583005e-05,0.0,3.982963136195394e-07,10000.0,0.44068310260772703,0.9,7743.3352010560975,7743.3353308490805
S3,BFGS,10,7926.308162203677,300.4778517187625,0.00015412320004034222,0.0,0.0,2904.7,0.11889424324035644,1.0,7741.691824035523,7741.69254589312
S4,SA,10,7783.180357781175,14.883584238364064,0.0015574405542679078,0.0,0.0,10000.0,0.528854250907898,0.2,7769.884471947199,129241.34660487252
S4,PSO,10,8269.552306188123,447.6041786856078,0.0327183198145244,0.0,0.09730898431732307,10000.0,0.5665734291076661,0.0,,415548.2070299892
S4,BFGS,10,7779.854558497963,3.42366593345898e-10,0.0008915050541894438,0.0,0.0,4101.4,0.21416857242584228,1.0,7779.854558497239,125740.21197638653
S5,SA,10,7757.254174778342,6.614994006264092,3.9017249889243286e-05,0.00014818286904347923,0.0,10000.0,0.3971856594085693,1.0,7749.523844469416,7749.882041557218
S5,PSO,10,7796.769708308745,32.30023530904793,0.00011277178236489076,0.0008129342412164823,0.0,10000.0,0.4223715543746948,0.9,7747.9294448679475,7748.05682322625
S5,BFGS,10,7742.564311632619,2.427224794900609e-10,2.330517214034571e-06,8.746857240333293e-05,0.0,4164.2,0.16047239303588867,1.0,7742.564311632199,7742.794921917649
S6,SA,10,7825.773240318206,33.16761320339166,6.568544375614352e-05,0.0001617861579563734,0.0,10000.0,0.39952452182769777,1.0,7783.240030172308,7783.524582827157
S6,PSO,10,7913.675228280638,146.68274870476546,0.0005922582616978277,0.0010337882201836173,0.0,10000.0,0.42496647834777834,0.9,7748.252004322969,7748.485017263268
S6,BFGS,10,7741.717219150014,4.2721087340293673e-11,2.070666226548686e-06,8.631654020503337e-05,0.0,1402.6,0.05601425170898437,1.0,7741.717219149918,7741.941593035127
S7,SA,10,8160.135657042227,281.3994172118569,0.00013052992050064852,0.00033222806618636325,0.0,16000.0,0.7314568042755127,1.0,7890.852003355041,7901.892941317985
S7,PSO,10,8608.624968833708,174.56459138766215,0.0004144426559846595,0.00518112207842611,0.0021202418150782164,16000.0,0.7790290355682373,0.7,8324.248028200425,8324.034386880703
S7,BFGS,10,7968.308610851047,369.5968529064353,6.475820516329283e-05,0.00019277245650217435,1.4141336617257139e-06,7000.9,0.32924211025238037,0.8,7740.659890009405,7740.87640376428
S8,SA,10,7701.984257430993,32.23895346560437,0.0010933357307790072,0.0034411379943300826,0.0016807176117914935,16000.0,0.9600209951400757,0.0,,54621.25947608079
S8,PSO,10,7968.67224853455,348.76873252435144,0.020865535591950597,0.040555767379293804,0.04318854077873517,16000.0,1.0260918617248536,0.0,,328577.8736378479
S8,BFGS,10,7813.077727445129,0.46411978658151815,0.0004146315349942112,0.0026788757390721956,0.0026331616720352002,7001.0,0.4475689172744751,0.0,,45886.169968256385
