scenario_id,algorithm,run_index,seed,penalized_objective,area,volume,total_height,rel_volume_error,rel_height_error,monotonic_violation,feasible,engineering_feasible,engineering_failed_checks,n_evals,time_s,budget,decision_vector
S1,SA,0,0,213733.37465118442,7779.78378716375,70453.42807840375,36.5,0.0018974413879942352,0.0,0.0,False,False,,10000,1.8388545513153076,10000,"[33.39446744890997, 27.99207049546575, 23.552746250363565, 20.592130315553625, 18.92888452725896, 18.662898241437055, 19.55427351404814, 21.548287101504574, 24.245398978079514]"
S1,SA,1,1,213256.02514960975,7781.528715291982,70531.96639863182,36.5,0.0030143116984047095,0.0,0.0,False,False,,10000,1.5964887142181396,10000,"[33.40378475250276, 28.249483072357176, 23.959166547231263, 20.7525454697276, 18.948943030245594, 18.494524200334826, 19.284096077758296, 21.245489442159645, 24.134235635147895]"
S1,SA,2,2,213100.56189141204,7776.757793469661,70450.23397246812,36.5,0.0018520189486365525,0.0,0.0,False,False,,10000,1.6108860969543457,10000,"[33.40070914665431, 28.015655588188256, 23.69934351104138, 20.597780319391156, 18.98652940374852, 18.670421564471326, 19.561315666936054, 21.382026000382293, 24.14722690539873]"
S1,SA,3,3,212708.24835867924,7781.640681562011,70375.0357618978,36.5,0.0007826473534954696,0.0,0.0,True,True,,10000,1.568164587020874,10000,"[33.38154837091208, 28.040593116137877, 23.700274871483153, 20.68463446687373, 18.935105694128406, 18.493980763339977, 19.422523753234724, 21.3757593154513, 24.226547138718523]"
S1,SA,4,4,212762.5555229984,7787.622606873823,70323.39385528048,36.5,4.826301593395465e-05,0.0,0.0,True,True,,10000,1.303370475769043,10000,"[33.49883708268692, 28.291542883956268, 23.993863332869076, 20.7353161546402, 18.79188514941908, 18.34806632203845, 19.157939354766278, 21.130390498930012, 23.997235658225172]"
S1,SA,5,5,213015.53034970316,7780.730869847986,70341.35359399035,36.5,0.0003036631682359533,0.0,0.0,True,True,,10000,1.2422387599945068,10000,"[33.31767139185037, 28.016738752049303, 23.804637453569235, 20.742376283486937, 18.965775285066396, 18.48782502405039, 19.330964322248338, 21.340839437478696, 24.21343947540056]"
S1,SA,6,6,212717.0951073588,7781.8110658016885,70515.01683968681,36.5,0.0027732770148863805,0.0,0.0,False,False,,10000,1.2510669231414795,10000,"[33.53921702268518, 28.192671636647034, 23.861850980817344, 20.743944582802573, 18.97121824283415, 18.47795860256055, 19.292531311964982, 21.205689899072265, 24.110910190143713]"
S1,SA,7,7,212872.7072817525,7783.975095341355,70344.48494352915,36.5,0.000348193167365677,0.0,0.0,True,True,,10000,1.235708475112915,10000,"[33.57137484772716, 28.19588350084221, 23.81764064197494, 20.704387345917457, 18.87491258215344, 18.44540092323721, 19.248610946383625, 21.18656849073421, 23.987724109909443]"
S1,SA,8,8,214520.58900603195,7790.983232945082,70325.67181986217,36.5,8.065727904106182e-05,0.0,0.0,True,True,,10000,1.3347971439361572,10000,"[33.5657300216188, 28.382848172603843, 24.109767849384124, 20.84794749414015, 18.88761086930083, 18.229438360523737, 18.897390467393105, 20.995554079662043, 23.92550556027428]"
S1,SA,9,9,214013.10335963566,7773.638009875304,70415.81926540872,36.5,0.0013626175399419499,0.0,0.0,False,False,,10000,1.2430925369262695,10000,"[33.181079997258436, 27.848891551702255, 23.644104742277182, 20.71478251998777, 19.083274125367105, 18.723499542087076, 19.54265860365234, 21.531318158960172, 24.29612351566902]"
S1,PSO,0,10000,223249.7815857936,7819.932209032414,70344.63744279993,36.5,0.00035036181456094055,0.0,0.0,True,False,neck_radius,10000,1.2956762313842773,10000,"[33.86154701094238, 28.782884019323355, 24.378273853507306, 20.768843759101443, 18.409236356918996, 17.719124806430084, 18.62428471935686, 20.914233188334688, 23.910162964622874]"
S1,PSO,1,10001,951299.076427577,7794.067156380017,72819.04394734946,36.5,0.03553816762442353,0.0,0.13666343253088442,False,False,,10000,1.3026607036590576,10000,"[33.210699062828404, 29.16828109798456, 23.423529799405607, 21.015826101657066, 19.887122378353006, 20.02378581088389, 19.915227270029327, 21.73941073760499, 24.784221194224724]"
S1,PSO,2,10002,1341660.4091112935,8463.926059107365,69154.55880529592,36.5,0.016573395829125127,0.0,0.0,False,False,neck_radius,10000,1.2904143333435059,10000,"[37.04375164639159, 32.57909991683891, 25.677566017453223, 17.8532451361348, 12.0, 12.0, 15.457437716973706, 20.01315583065901, 24.14191223795713]"
S1,PSO,3,10003,316086.6781145358,7912.581227519684,70536.72000872117,36.5,0.0030819113868197907,0.0,0.0,False,False,neck_radius,10000,1.2697386741638184,10000,"[34.53823081174117, 30.16169576326876, 25.591834209956748, 21.21706201912591, 18.131153840692523, 16.356196368594762, 17.430059685351527, 19.715488145315692, 23.05273915322831]"
S1,PSO,4,10004,423273.28807215905,7964.293150412676,70155.1565600174,36.5,0.0023441899883758933,0.0,0.0,False,False,neck_radius,10000,1.3255321979522705,10000,"[34.21489072670322, 30.254017438337254, 25.428130048626784, 20.38914196704659, 17.255274803169357, 16.002258210300862, 17.096535650482583, 20.62815687119083, 23.982508642128728]"
S1,PSO,5,10005,3482678.5583731346,8092.554258620476,76372.10234014626,36.5,0.08606516410901961,0.0,0.02153375794643253,False,False,radius_second_diff,10000,1.4282090663909912,10000,"[30.21577289668592, 27.637747213365383, 26.942184396400368, 26.538906891393705, 21.61629418651106, 20.556813249360946, 20.535279491414514, 23.239153755965255, 24.07169515846726]"
S1,PSO,6,10006,354137.71681063046,7792.520347029517,70742.26816331103,36.5,0.006004951127858835,0.0,0.008138674103157939,False,False,,10000,1.307699203491211,10000,"[32.100490022471966, 26.150778640561274, 21.85308618524031, 20.561653920997156, 20.565645422817926, 20.573784096921084, 21.332200200294295, 22.799959337621047, 24.6849278050068]"
S1,PSO,7,10007,221102.8508441242,7804.557658420586,70336.92558892803,36.5,0.00024069381296973954,0.0,0.0,True,True,,10000,1.295485019683838,10000,"[33.619519381377515, 28.47730814164332, 24.019322554305024, 20.74107063540628, 18.708193874521726, 18.030547593949684, 18.79254093278054, 21.175853799980693, 24.1559135632746]"
