scenario_id,algorithm,runs,mean_area,median_area,area_iqr_q1,area_iqr_q3,area_ci95,std_area,mean_rel_volume_error,mean_rel_height_error,mean_monotonic_violation,mean_evals,mean_time_s,feasibility_rate,engineering_feasibility_rate,feasible_runs,feasible_area_mean,feasible_area_median,engineering_feasible_runs,engineering_feasible_area_mean,engineering_feasible_area_median,best_feasible_area,best_penalized_objective
S1,SA,10,7781.847185817263,7781.5846984269965,7780.020557834809,7783.434087956439,3.066441252531104,4.693532529384343,0.0012463090573935946,0.0,0.0,10000.0,1.4224668264389038,0.5,0.5,5,7784.990497314051,7783.975095341355,5,7784.990497314051,7783.975095341355,7780.730869847986,212708.24835867924
S1,PSO,10,7950.104329953807,7866.256718276049,7802.727717365371,8031.943409604447,131.6462796785679,201.49940767127742,0.01571149635004379,0.0,0.016704010527087476,10000.0,1.3185322046279908,0.2,0.1,2,7812.244933726501,7812.244933726501,1,7804.557658420586,7804.557658420586,7804.557658420586,215482.3882893503
S1,BFGS,10,7782.005334365089,7782.00533436365,7782.005334363583,7782.005334364823,2.147880759480294e-09,3.2875725910412668e-09,0.0015365468447335834,0.0,0.0,3973.2,0.5212842941284179,0.0,0.0,0,nan,nan,0,nan,nan,,211178.34048080776
S2,SA,10,7753.256122984077,7750.904248077277,7746.556254882436,7756.29410548855,6.056368298630013,9.269951477494917,5.492194878016885e-05,0.0,0.0,10000.0,1.1780340909957885,1.0,1.0,10,7753.256122984077,7750.904248077277,10,7753.256122984077,7750.904248077277,7744.009829480362,7744.066655231773
S2,PSO,10,9352.841177766162,9260.285190148024,9045.31000899437,9593.72853577143,342.85477130177367,524.7777111761842,0.06536113944353314,0.0,0.03909469008250781,10000.0,1.1346873044967651,0.4,0.0,4,9313.281731427744,9260.285190148024,0,nan,nan,9075.026775121934,8422.56286712704
S2,BFGS,10,8295.442925477608,7741.6727591971685,7741.672759154891,8935.731238163355,453.22145026707796,693.7063014292011,0.0001557763246634167,0.0,5.411180513998914e-05,3550.2,0.3727925539016724,0.9,0.6,9,8220.527282094678,7741.672759154898,6,7741.672759168982,7741.6727591548915,7741.672759154888,7741.67348077033
S3,SA,10,7753.022568014375,7745.505413030993,7744.106324708773,7749.316358622197,13.957725960676969,21.3638662663423,3.4244263629908376e-05,0.0,0.0,10000.0,2.0273218631744383,1.0,1.0,10,7753.022568014375,7745.505413030993,10,7753.022568014375,7745.505413030993,7742.773501939608,7742.779029081367
S3,PSO,10,8258.124930091844,8394.04139607377,7895.120761267914,8534.476503196543,229.84333285792312,351.80101968049456,2.5093627469465484e-05,0.0,3.9829620632758635e-07,10000.0,1.8163801193237306,0.9,0.2,9,8302.872939637453,8407.032555657923,2,7771.589212046691,7771.589212046691,7743.335201056123,7743.335330849017
S3,BFGS,10,7926.45332574013,7741.691824035533,7741.691824035532,8066.122780761973,196.42348617154485,300.64819311971155,0.00015416916544511156,0.0,0.0,2959.1,0.3936362981796265,1.0,0.7,10,7926.45332574013,7741.691824035533,7,7741.691824035531,7741.691824035533,7741.6918240355235,7741.69254589312
S4,SA,10,7783.180357781175,7784.074538072434,7770.826610303711,7789.454922618926,9.72394170239767,14.883584238363783,0.0015574405542679492,0.0,0.0,10000.0,1.8587247848510742,0.2,0.2,2,7779.324746188508,7779.324746188508,2,7779.324746188508,7779.324746188508,7769.884471947199,129241.34660487252
S4,PSO,10,8269.552306188132,8187.349242603295,7954.82077109456,8348.347475471252,292.4347300747613,447.60417868585915,0.032718319814520266,0.0,0.09730898431590944,10000.0,2.078105640411377,0.0,0.0,0,nan,nan,0,nan,nan,,415548.2070303207
S4,BFGS,10,7779.854558497737,7779.854558497991,7779.854558496587,7779.854558498152,9.301860884665538e-10,1.4237542170406436e-09,0.0008915050505638192,0.0,0.0,5001.0,0.8332619190216064,1.0,1.0,10,7779.854558497737,7779.854558497991,10,7779.854558497737,7779.854558497991,7779.85455849577,125740.21197638649
S5,SA,10,7757.254174778342,7755.797013458408,7752.49369851056,7761.193924102671,4.321796084092585,6.614994006264163,3.901724988926398e-05,0.00014818286904345977,0.0,10000.0,1.474023699760437,1.0,1.0,10,7757.254174778342,7755.797013458408,10,7757.254174778342,7755.797013458408,7749.523844469416,7749.882041557216
S5,PSO,10,7796.769708271499,7807.325615011883,7764.83158034439,7821.7246958074775,21.10282036922286,32.300235259014585,0.00011277177455625274,0.0008129342470096246,0.0,10000.0,1.1962016105651856,0.9,0.2,9,7798.624939780824,7819.972810183842,2,7751.395995974035,7751.395995974035,7747.92944487443,7748.056823226773
S5,BFGS,10,7742.564311626853,7742.5643116325755,7742.564311632573,7742.564311632583,1.1211951290641284e-08,1.7161149934655027e-08,2.3305173894356424e-06,8.746857347056812e-05,0.0,3657.4,0.6989223003387451,1.0,1.0,10,7742.564311626853,7742.5643116325755,10,7742.564311626853,7742.5643116325755,7742.56431157537,7742.794921917648
S6,SA,10,7825.773240318206,7823.820069548485,7796.999237052618,7848.270626939404,21.66950729288254,33.167613203391646,6.568544375606074e-05,0.00016178615795639286,0.0,10000.0,1.514685583114624,1.0,0.3,10,7825.773240318206,7823.820069548485,3,7806.703868944324,7813.071236774649,7783.240030172307,7783.524582827156
S6,PSO,10,7913.675228282259,7889.151874631742,7798.779563449211,7941.509319372234,95.83272915643317,146.68274870882632,0.0005922582621182232,0.0010337882198104367,0.0,10000.0,1.7270392894744873,0.9,0.1,9,7886.161384824165,7863.832924088235,1,7748.252004320785,7748.252004320785,7748.252004320785,7748.485017269829
S6,BFGS,10,7741.717219150009,7741.717219150016,7741.717219149981,7741.717219150061,8.727892445986312e-11,1.335901904997905e-10,2.0706662253691362e-06,8.63165402062403e-05,0.0,2120.5,0.3118408679962158,1.0,1.0,10,7741.717219150009,7741.717219150016,10,7741.717219150009,7741.717219150016,7741.717219149712,7741.941593035127
S7,SA,10,8160.135657042226,8089.132653297808,7959.390228037529,8256.825535159518,183.8476192450799,281.399417211857,0.0001305299205006692,0.0003322280661863438,0.0,16000.0,3.2231744289398194,1.0,0.0,10,8160.135657042226,8089.132653297808,0,nan,nan,7890.85200335504,7901.892941317985
S7,PSO,10,8608.624968912962,8632.89276310028,8473.891459369397,8770.797858633081,114.04886643056572,174.5645914753557,0.00041444265692645724,0.005181122077219822,0.0021202421556715477,16000.0,2.835703158378601,0.7,0.0,7,8536.864488082076,8479.520518687339,0,nan,nan,8324.24802819909,8324.034386892326
S7,BFGS,10,7849.9823311774035,7743.853492305794,7740.929433928017,7946.582324477546,112.04341296808957,171.4950198491167,6.37391484763925e-05,0.00010171094868688712,0.0,7000.8,3.148881697654724,1.0,0.6,10,7849.9823311774035,7743.853492305794,6,7741.901696359112,7741.191711613453,7740.659882815151,7740.87639570043
S8,SA,10,7701.984257430993,7703.576196642997,7683.106334951853,7722.192623601647,21.062782930861587,32.238953465604475,0.0010933357307790072,0.003441137994330063,0.0016807176117914935,16000.0,3.1637470006942747,0.0,0.0,0,nan,nan,0,nan,nan,,54621.25947608083
S8,PSO,10,7968.672248536884,7978.962421026843,7834.3925768654035,8245.539038669413,227.86223858236391,348.76873252402646,0.020865535592785745,0.0405557673794496,0.04318854077156793,16000.0,8.062527561187744,0.0,0.0,0,nan,nan,0,nan,nan,,328577.87363666715
S8,BFGS,10,7813.482795864869,7813.243532644909,7813.2435324989065,7813.246145678457,0.33029250246684405,0.505549748673741,0.00042039091566495096,0.002699087065196583,0.002645128420558862,7001.0,3.5489118099212646,0.0,0.0,0,nan,nan,0,nan,nan,,45886.169968256356
