model_name,nodes,elements,steps,loads,bcs,status
S1_BFGS,840,800,BUCKLING;Initial;STATIC_WIND,SelfWeight;SelfWeightBuckling;Wind;WindBuckling,FixBase,pass
S1_PSO,840,800,BUCKLING;Initial;STATIC_WIND,SelfWeight;SelfWeightBuckling;Wind;WindBuckling,FixBase,pass
S1_SA,840,800,BUCKLING;Initial;STATIC_WIND,SelfWeight;SelfWeightBuckling;Wind;WindBuckling,FixBase,pass
S2_BFGS,840,800,BUCKLING;Initial;STATIC_WIND,SelfWeight;SelfWeightBuckling;Wind;WindBuckling,FixBase,pass
S2_PSO,1075,1035,BUCKLING;Initial;STATIC_WIND,SelfWeight;SelfWeightBuckling;Wind;WindBuckling,FixBase,pass
S2_SA,840,800,BUCKLING;Initial;STATIC_WIND,SelfWeight;SelfWeightBuckling;Wind;WindBuckling,FixBase,pass
S3_BFGS,840,800,BUCKLING;Initial;STATIC_WIND,SelfWeight;SelfWeightBuckling;Wind;WindBuckling,FixBase,pass
S3_PSO,840,800,BUCKLING;Initial;STATIC_WIND,SelfWeight;SelfWeightBuckling;Wind;WindBuckling,FixBase,pass
S3_SA,840,800,BUCKLING;Initial;STATIC_WIND,SelfWeight;SelfWeightBuckling;Wind;WindBuckling,FixBase,pass
S4_BFGS,1000,960,BUCKLING;Initial;STATIC_WIND,SelfWeight;SelfWeightBuckling;Wind;WindBuckling,FixBase,pass
S4_PSO,1000,960,BUCKLING;Initial;STATIC_WIND,SelfWeight;SelfWeightBuckling;Wind;WindBuckling,FixBase,pass
S4_SA,1000,960,BUCKLING;Initial;STATIC_WIND,SelfWeight;SelfWeightBuckling;Wind;WindBuckling,FixBase,pass
S5_BFGS,840,800,BUCKLING;Initial;STATIC_WIND,SelfWeight;SelfWeightBuckling;Wind;WindBuckling,FixBase,pass
S5_PSO,840,800,BUCKLING;Initial;STATIC_WIND,SelfWeight;SelfWeightBuckling;Wind;WindBuckling,FixBase,pass
S5_SA,840,800,BUCKLING;Initial;STATIC_WIND,SelfWeight;SelfWeightBuckling;Wind;WindBuckling,FixBase,pass
S6_BFGS,840,800,BUCKLING;Initial;STATIC_WIND,SelfWeight;SelfWeightBuckling;Wind;WindBuckling,FixBase,pass
S6_PSO,840,800,BUCKLING;Initial;STATIC_WIND,SelfWeight;SelfWeightBuckling;Wind;WindBuckling,FixBase,pass
S6_SA,840,800,BUCKLING;Initial;STATIC_WIND,SelfWeight;SelfWeightBuckling;Wind;WindBuckling,FixBase,pass
S7_BFGS,840,800,BUCKLING;Initial;STATIC_WIND,SelfWeight;SelfWeightBuckling;Wind;WindBuckling,FixBase,pass
S7_PSO,840,800,BUCKLING;Initial;STATIC_WIND,SelfWeight;SelfWeightBuckling;Wind;WindBuckling,FixBase,pass
S7_SA,840,800,BUCKLING;Initial;STATIC_WIND,SelfWeight;SelfWeightBuckling;Wind;WindBuckling,FixBase,pass
S8_BFGS,840,800,BUCKLING;Initial;STATIC_WIND,SelfWeight;SelfWeightBuckling;Wind;WindBuckling,FixBase,pass
S8_PSO,840,800,BUCKLING;Initial;STATIC_WIND,SelfWeight;SelfWeightBuckling;Wind;WindBuckling,FixBase,pass
S8_SA,840,800,BUCKLING;Initial;STATIC_WIND,SelfWeight;SelfWeightBuckling;Wind;WindBuckling,FixBase,pass
