node_label,x,y,z,ux,uy,uz,umag,deformed_x,deformed_y,deformed_z
1,39.29999923706055,0.0,0.0,2.2225997040149957e-30,2.3630464524975697e-31,-1.1660270133603129e-30,0.0,39.29999923706055,2.3630464524975697e-31,-1.1660270133603129e-30
2,36.308467864990234,15.039459228515625,0.0,2.1421547010966984e-30,6.452327047878243e-31,-1.1668010528804423e-30,0.0,36.308467864990234,15.039459228515625,-1.1668010528804423e-30
3,27.789297103881836,27.789297103881836,0.0,1.725961616272809e-30,1.431843431702718e-30,-1.1676666869203879e-30,0.0,27.789297103881836,27.789297103881836,-1.1676666869203879e-30
4,15.039459228515625,36.308467864990234,0.0,1.0343210527913573e-30,1.9937529591641437e-30,-1.1664228258181218e-30,0.0,15.039459228515625,36.308467864990234,-1.1664228258181218e-30
5,0.0,39.29999923706055,0.0,1.8309194379876736e-31,2.2500761791688562e-30,-1.1673254174004571e-30,0.0,1.8309194379876736e-31,39.29999923706055,-1.1673254174004571e-30
6,-15.039459228515625,36.308467864990234,0.0,-6.958102770426886e-31,2.169963135855231e-30,-1.1713172081367535e-30,0.0,-15.039459228515625,36.308467864990234,-1.1713172081367535e-30
7,-27.789297103881836,27.789297103881836,0.0,-1.4696884253076676e-30,1.754776650353838e-30,-1.1728594567250323e-30,0.0,-27.789297103881836,27.789297103881836,-1.1728594567250323e-30
8,-36.308467864990234,15.039459228515625,0.0,-2.0285094118919687e-30,1.0669081071848527e-30,-1.173227809634806e-30,0.0,-36.308467864990234,15.039459228515625,-1.173227809634806e-30
9,-39.29999923706055,0.0,0.0,-2.2845053742694123e-30,2.1344892083954382e-31,-1.1737819846915577e-30,0.0,-39.29999923706055,2.1344892083954382e-31,-1.1737819846915577e-30
10,-36.308467864990234,-15.039459228515625,0.0,-2.2008385764343813e-30,-6.719334947294642e-31,-1.1755983585624483e-30,0.0,-36.308467864990234,-15.039459228515625,-1.1755983585624483e-30
11,-27.789297103881836,-27.789297103881836,0.0,-1.793633415456427e-30,-1.4561046006686614e-30,-1.1782865730834567e-30,0.0,-27.789297103881836,-27.789297103881836,-1.1782865730834567e-30
12,-15.039459228515625,-36.308467864990234,0.0,-1.1123238486463862e-30,-2.0162511687224978e-30,-1.177244897009532e-30,0.0,-15.039459228515625,-36.308467864990234,-1.177244897009532e-30
13,-0.0,-39.29999923706055,0.0,-2.61064341369884e-31,-2.2737841134735285e-30,-1.175725311952337e-30,0.0,-2.61064341369884e-31,-39.29999923706055,-1.175725311952337e-30
14,15.039459228515625,-36.308467864990234,0.0,6.258830333382607e-31,-2.1863531006085203e-30,-1.1745168097201437e-30,0.0,15.039459228515625,-36.308467864990234,-1.1745168097201437e-30
15,27.789297103881836,-27.789297103881836,0.0,1.4059550023970445e-30,-1.7641162821095392e-30,-1.170829048842744e-30,0.0,27.789297103881836,-27.789297103881836,-1.170829048842744e-30
16,36.308467864990234,-15.039459228515625,0.0,1.9640067454781675e-30,-1.0800119539705312e-30,-1.1673726252535862e-30,0.0,36.308467864990234,-15.039459228515625,-1.1673726252535862e-30
17,34.939998626708984,0.0,1.8438600301742554,-0.0025689818430691957,-4.949846717565786e-19,-0.006325831171125174,0.006827577017247677,34.937429644865915,-4.949846717565786e-19,1.8375341990031302
18,32.28034973144531,13.370959281921387,1.8438600301742554,-0.0023700471501797438,-0.0009797728853300214,-0.006317425053566694,0.006818132940679789,32.27797968429513,13.369979509036057,1.8375426051206887
19,24.706310272216797,24.706310272216797,1.8438600301742554,-0.0018069162033498287,-0.0018020451534539461,-0.00629178062081337,0.006789610721170902,24.704503356013447,24.704508227063343,1.837568249553442
20,13.370959281921387,32.28034973144531,1.8438600301742554,-0.000972624693531543,-0.002334767486900091,-0.006244332063943148,0.006737122777849436,13.369986657227855,32.27801496395841,1.8376156981103122
21,0.0,34.939998626708984,1.8438600301742554,-6.364482032950036e-06,-0.002500218106433749,-0.006180199794471264,0.006666783709079027,-6.364482032950036e-06,34.93749840860255,1.837679830379784
22,-13.370959281921387,32.28034973144531,1.8438600301742554,0.0009385596495121717,-0.002281017368659377,-0.006109176203608513,0.006588320713490248,-13.370020722271875,32.27806871407665,1.8377508539706469
23,-24.706310272216797,24.706310272216797,1.8438600301742554,0.0017289882525801659,-0.0017341731581836939,-0.006071486044675112,0.006546732038259506,-24.704581283964217,24.704576099058613,1.8377885441295803
24,-32.28034973144531,13.370959281921387,1.8438600301742554,0.0022636684589087963,-0.0009390398627147079,-0.006073839496821165,0.0065496196039021015,-32.278086062986404,13.370020242058672,1.8377861906774342
25,-34.939998626708984,0.0,1.8438600301742554,0.0024512899108231068,3.4354545333674186e-19,-0.00607678247615695,0.006552564911544323,-34.93754733679816,3.4354545333674186e-19,1.8377832476980984
26,-32.28034973144531,-13.370959281921387,1.8438600301742554,0.0022636684589087963,0.0009390398627147079,-0.006073839496821165,0.0065496196039021015,-32.278086062986404,-13.370020242058672,1.8377861906774342
27,-24.706310272216797,-24.706310272216797,1.8438600301742554,0.0017289882525801659,0.0017341731581836939,-0.006071486044675112,0.006546732038259506,-24.704581283964217,-24.704576099058613,1.8377885441295803
28,-13.370959281921387,-32.28034973144531,1.8438600301742554,0.0009385596495121717,0.002281017368659377,-0.006109176203608513,0.006588320713490248,-13.370020722271875,-32.27806871407665,1.8377508539706469
29,-0.0,-34.939998626708984,1.8438600301742554,-6.364482032950036e-06,0.002500218106433749,-0.006180199794471264,0.006666783709079027,-6.364482032950036e-06,-34.93749840860255,1.837679830379784
30,13.370959281921387,-32.28034973144531,1.8438600301742554,-0.000972624693531543,0.002334767486900091,-0.006244332063943148,0.006737122777849436,13.369986657227855,-32.27801496395841,1.8376156981103122
31,24.706310272216797,-24.706310272216797,1.8438600301742554,-0.0018069162033498287,0.0018020451534539461,-0.00629178062081337,0.006789610721170902,24.704503356013447,-24.704508227063343,1.837568249553442
32,32.28034973144531,-13.370959281921387,1.8438600301742554,-0.0023700471501797438,0.0009797728853300214,-0.006317425053566694,0.006818132940679789,32.27797968429513,-13.369979509036057,1.8375426051206887
33,30.729999542236328,0.0,4.236606121063232,-0.004305738490074873,2.0710972734027142e-19,-0.009474031627178192,0.01040656864643097,30.725693803746253,2.0710972734027142e-19,4.227132089436054
34,28.390817642211914,11.759861946105957,4.236606121063232,-0.003973161801695824,-0.0016419589519500732,-0.009462726302444935,0.010393518954515457,28.38684448041022,11.758219987154007,4.2271433947607875
35,21.72939109802246,21.72939109802246,4.236606121063232,-0.0030306954868137836,-0.003021855838596821,-0.0094299940392375,0.010355748236179352,21.726360402535647,21.726369242183864,4.227176127023995
36,11.759861946105957,28.390817642211914,4.236606121063232,-0.001633207779377699,-0.0039207786321640015,-0.009370693005621433,0.010288330726325512,11.75822873832658,28.38689686357975,4.227235428057611
37,0.0,30.729999542236328,4.236606121063232,-1.02413860076922e-05,-0.004204537253826857,-0.009287586435675621,0.010194974951446056,-1.02413860076922e-05,30.7257950049825,4.227318534627557
38,-11.759861946105957,28.390817642211914,4.236606121063232,0.0015787736047059298,-0.0038380727637559175,-0.009187242016196251,0.01008110772818327,-11.758283172501251,28.386979569448158,4.227418879047036
