node_label,x,y,z,ux,uy,uz,umag,deformed_x,deformed_y,deformed_z
1,39.29999923706055,0.0,0.0,1.5169957722785442e-30,1.5674250911858828e-31,-7.840585406001624e-31,0.0,39.29999923706055,1.5674250911858828e-31,-7.840585406001624e-31
2,37.96088409423828,10.171587944030762,0.0,1.5052350923578894e-30,2.4665075877851933e-31,-7.8418065095332585e-31,0.0,37.96088409423828,10.171587944030762,-7.8418065095332585e-31
3,34.03479766845703,19.649999618530273,0.0,1.3891798516548778e-30,6.3440155878002565e-31,-7.845845037924944e-31,0.0,34.03479766845703,19.649999618530273,-7.845845037924944e-31
4,27.789297103881836,27.789297103881836,0.0,1.1742940300307759e-30,9.788905696585583e-31,-7.844818126060065e-31,0.0,27.789297103881836,27.789297103881836,-7.844818126060065e-31
5,19.649999618530273,34.03479766845703,0.0,8.755182547240828e-31,1.2547844540507889e-30,-7.838617628458348e-31,0.0,19.649999618530273,34.03479766845703,-7.838617628458348e-31
6,10.171587944030762,37.96088409423828,0.0,5.155405541209234e-31,1.4427730841371156e-30,-7.832166045263295e-31,0.0,10.171587944030762,37.96088409423828,-7.832166045263295e-31
7,0.0,39.29999923706055,0.0,1.216207009915842e-31,1.5314362031608817e-30,-7.831271729161189e-31,0.0,1.216207009915842e-31,39.29999923706055,-7.831271729161189e-31
8,-10.171587944030762,37.96088409423828,0.0,-2.8030022496628797e-31,1.520550749314075e-30,-7.852447084396902e-31,0.0,-10.171587944030762,37.96088409423828,-7.852447084396902e-31
9,-19.649999618530273,34.03479766845703,0.0,-6.643900183418193e-31,1.4086687016355788e-30,-7.8789159257932375e-31,0.0,-19.649999618530273,34.03479766845703,-7.8789159257932375e-31
10,-27.789297103881836,27.789297103881836,0.0,-1.0023477004885391e-30,1.1963700960578626e-30,-7.883262903902578e-31,0.0,-27.789297103881836,27.789297103881836,-7.883262903902578e-31
11,-34.03479766845703,19.649999618530273,0.0,-1.2745361445683337e-30,9.002717207241504e-31,-7.877858451075238e-31,0.0,-34.03479766845703,19.649999618530273,-7.877858451075238e-31
12,-37.96088409423828,10.171587944030762,0.0,-1.464355442536857e-30,5.419522664918091e-31,-7.880367896415373e-31,0.0,-37.96088409423828,10.171587944030762,-7.880367896415373e-31
13,-39.29999923706055,0.0,0.0,-1.5551277745841905e-30,1.4538748054345866e-31,-7.881651536246471e-31,0.0,-39.29999923706055,1.4538748054345866e-31,-7.881651536246471e-31
14,-37.96088409423828,-10.171587944030762,0.0,-1.5414616653406267e-30,-2.601357478525084e-31,-7.885392429468528e-31,0.0,-37.96088409423828,-10.171587944030762,-7.885392429468528e-31
15,-34.03479766845703,-19.649999618530273,0.0,-1.428814135740875e-30,-6.484942784333899e-31,-7.905588833008876e-31,0.0,-34.03479766845703,-19.649999618530273,-7.905588833008876e-31
16,-27.789297103881836,-27.789297103881836,0.0,-1.2220922634425559e-30,-9.934974505409722e-31,-7.924925244882162e-31,0.0,-27.789297103881836,-27.789297103881836,-7.924925244882162e-31
17,-19.649999618530273,-34.03479766845703,0.0,-9.30005521189782e-31,-1.267802066570891e-30,-7.92057591578412e-31,0.0,-19.649999618530273,-34.03479766845703,-7.92057591578412e-31
18,-10.171587944030762,-37.96088409423828,0.0,-5.740031073822334e-31,-1.457263544059024e-30,-7.909421884988037e-31,0.0,-10.171587944030762,-37.96088409423828,-7.909421884988037e-31
19,-0.0,-39.29999923706055,0.0,-1.787150258483111e-31,-1.5511163295823484e-30,-7.908137304761459e-31,0.0,-1.787150258483111e-31,-39.29999923706055,-7.908137304761459e-31
20,10.171587944030762,-37.96088409423828,0.0,2.2884514617853487e-31,-1.538169810960584e-30,-7.903405234702788e-31,0.0,10.171587944030762,-37.96088409423828,-7.903405234702788e-31
21,19.649999618530273,-34.03479766845703,0.0,6.187750070779345e-31,-1.4190262174595441e-30,-7.894503451082881e-31,0.0,19.649999618530273,-34.03479766845703,-7.894503451082881e-31
22,27.789297103881836,-27.789297103881836,0.0,9.626569926737025e-31,-1.2028247825580018e-30,-7.880293134974661e-31,0.0,27.789297103881836,-27.789297103881836,-7.880293134974661e-31
23,34.03479766845703,-19.649999618530273,0.0,1.2371000349183742e-30,-9.057973905289478e-31,-7.862154316745992e-31,0.0,34.03479766845703,-19.649999618530273,-7.862154316745992e-31
24,37.96088409423828,-10.171587944030762,0.0,1.425572028281759e-30,-5.493030088256931e-31,-7.847391048095145e-31,0.0,37.96088409423828,-10.171587944030762,-7.847391048095145e-31
25,36.36062240600586,0.0,1.338165044784546,-0.0018062302842736244,-3.2623943905484884e-19,-0.004238900728523731,0.004607683513313532,36.358816175721586,-3.2623943905484884e-19,1.3339261440560222
26,35.121665954589844,9.410821914672852,1.338165044784546,-0.0017434859182685614,-0.0004660888225771487,-0.0042360695078969,0.004604483488947153,35.119922468671575,9.410355825850274,1.333928975276649
27,31.48922348022461,18.18031120300293,1.338165044784546,-0.0015602776547893882,-0.0008984479354694486,-0.004227939993143082,0.004595340229570866,31.48766320256982,18.17941275506746,1.3339371047914028
28,25.71084213256836,25.71084213256836,1.338165044784546,-0.0012699734652414918,-0.0012655938044190407,-0.004213051870465279,0.004578685853630304,25.709572159103118,25.70957653876394,1.3339519929140806
29,18.18031120300293,31.48922348022461,1.338165044784546,-0.0008947239839471877,-0.0015412740176543593,-0.004190911538898945,0.004554096609354019,18.179416479018982,31.487682206206955,1.333974133245647
30,9.410821914672852,35.121665954589844,1.338165044784546,-0.00046242866665124893,-0.0017057640943676233,-0.004160137381404638,0.00451997946947813,9.4103594860062,35.119960190495476,1.3340049074031413
31,0.0,36.36062240600586,1.338165044784546,-5.823767423862591e-06,-0.00175019062589854,-0.004124314058572054,0.004480308853089809,-5.823767423862591e-06,36.35887221537996,1.3340407307259738
32,-9.410821914672852,35.121665954589844,1.338165044784546,0.00044324208283796906,-0.0016758390702307224,-0.004089366644620895,0.004441600758582354,-9.410378672590014,35.11999011551961,1.334075678139925
33,-18.18031120300293,31.48922348022461,1.338165044784546,0.0008545669261366129,-0.0014889014419168234,-0.004056088626384735,0.004404426086694002,-18.179456636076793,31.487734578782693,1.3341089561581612
34,-25.71084213256836,25.71084213256836,1.338165044784546,0.001207088935188949,-0.0012109283125028014,-0.0040419381111860275,0.004388698376715183,-25.70963504363317,25.709631204255857,1.3341231066733599
35,-31.48922348022461,18.18031120300293,1.338165044784546,0.0014820301439613104,-0.000856972998008132,-0.004045352339744568,0.004392685834318399,-31.487741450080648,18.17945423000492,1.3341196924448013
36,-35.121665954589844,9.410821914672852,1.338165044784546,0.0016549924621358514,-0.0004437847528606653,-0.004048592410981655,0.004396253731101751,-35.12001096212771,9.410378129919991,1.3341164523735642
37,-36.36062240600586,0.0,1.338165044784546,0.0017141622956842184,1.781148108976945e-19,-0.004050207324326038,0.004398014396429062,-36.358908243710175,1.781148108976945e-19,1.3341148374602199
