node_label,x,y,z,ux,uy,uz,umag,deformed_x,deformed_y,deformed_z
1,39.29999923706055,0.0,0.0,1.0421607537554093e-30,-4.844165670162354e-31,4.002916085030279e-31,0.0,39.29999923706055,-4.844165670162354e-31,4.002916085030279e-31
2,38.8161506652832,0.0,6.147873878479004,1.0920793908969767e-30,-4.845267343467945e-31,-2.3299936672422785e-31,0.0,38.8161506652832,-4.845267343467945e-31,6.147873878479004
3,37.376522064208984,0.0,12.144368171691895,1.1157429385349619e-30,-4.848140251661355e-31,-6.065656056987402e-32,0.0,37.376522064208984,-4.848140251661355e-31,12.144368171691895
4,35.01655578613281,0.0,17.841827392578125,1.1132609527428617e-30,-4.853857856183754e-31,1.1262478378406333e-31,0.0,35.01655578613281,-4.853857856183754e-31,17.841827392578125
5,31.794368743896484,0.0,23.099960327148438,1.0851506510350378e-30,-4.8629115136737874e-31,2.830941399393224e-31,0.0,31.794368743896484,-4.8629115136737874e-31,23.099960327148438
6,27.789297103881836,0.0,27.789297103881836,1.0320801844004977e-30,-4.874887450119965e-31,4.472558992025606e-31,0.0,27.789297103881836,-4.874887450119965e-31,27.789297103881836
7,23.099960327148438,0.0,31.794368743896484,9.547784533762993e-31,-4.888308304222173e-31,6.016322557423787e-31,0.0,23.099960327148438,-4.888308304222173e-31,31.794368743896484
8,17.841827392578125,0.0,35.01655578613281,8.541657289798142e-31,-4.900767133747668e-31,7.4253838741725405e-31,0.0,17.841827392578125,-4.900767133747668e-31,35.01655578613281
9,12.144368171691895,0.0,37.376522064208984,7.316989189094516e-31,-4.9094404012657756e-31,8.660227994372365e-31,0.0,12.144368171691895,-4.9094404012657756e-31,37.376522064208984
10,6.147873878479004,0.0,38.8161506652832,5.897457038866378e-31,-4.911733085447619e-31,9.680631382129082e-31,0.0,6.147873878479004,-4.911733085447619e-31,38.8161506652832
11,0.0,0.0,39.29999923706055,4.3187314502883e-31,-4.9063540232982566e-31,1.0450928128245524e-30,0.0,4.3187314502883e-31,-4.9063540232982566e-31,39.29999923706055
12,-6.147873878479004,0.0,38.8161506652832,2.6258834628583807e-31,-4.893032380919258e-31,1.094362953242658e-30,0.0,-6.147873878479004,-4.893032380919258e-31,38.8161506652832
13,-12.144368171691895,0.0,37.376522064208984,8.72298563942237e-32,-4.871908277237241e-31,1.1141497205116314e-30,0.0,-12.144368171691895,-4.871908277237241e-31,37.376522064208984
14,-17.841827392578125,0.0,35.01655578613281,-8.854314219284938e-32,-4.8473324519434695e-31,1.1049749400836894e-30,0.0,-17.841827392578125,-4.8473324519434695e-31,35.01655578613281
15,-23.099960327148438,0.0,31.794368743896484,-2.6058570358011617e-31,-4.827206578064171e-31,1.0695035987114683e-30,0.0,-23.099960327148438,-4.827206578064171e-31,31.794368743896484
16,-27.789297103881836,0.0,27.789297103881836,-4.255876826954352e-31,-4.81492501308678e-31,1.0101491273565284e-30,0.0,-27.789297103881836,-4.81492501308678e-31,27.789297103881836
17,-31.794368743896484,0.0,23.099960327148438,-5.792277095738982e-31,-4.810970179892873e-31,9.283840913020317e-31,0.0,-31.794368743896484,-4.810970179892873e-31,23.099960327148438
18,-35.01655578613281,0.0,17.841827392578125,-7.178584133239998e-31,-4.812225137661811e-31,8.261227595884054e-31,0.0,-35.01655578613281,-4.812225137661811e-31,17.841827392578125
19,-37.376522064208984,0.0,12.144368171691895,-8.392558526735323e-31,-4.818038192325497e-31,7.05608962852273e-31,0.0,-37.376522064208984,-4.818038192325497e-31,12.144368171691895
20,-38.8161506652832,0.0,6.147873878479004,-9.411895506016975e-31,-4.827065518742072e-31,5.688698175917406e-31,0.0,-38.8161506652832,-4.827065518742072e-31,6.147873878479004
21,-39.29999923706055,0.0,0.0,-1.0209624528699686e-30,-4.836205222418586e-31,4.1800851829929935e-31,0.0,-39.29999923706055,-4.836205222418586e-31,4.1800851829929935e-31
22,-38.8161506652832,0.0,-6.147873878479004,-1.0759440852398496e-30,-4.84291588456856e-31,2.5576909196773484e-31,0.0,-38.8161506652832,-4.84291588456856e-31,-6.147873878479004
23,-37.376522064208984,0.0,-12.144368171691895,-1.1037941795181755e-30,-4.845558866066949e-31,8.560241385286902e-32,0.0,-37.376522064208984,-4.845558866066949e-31,-12.144368171691895
24,-35.01655578613281,0.0,-17.841827392578125,-1.1024033346022825e-30,-4.841594628918236e-31,-8.81279634656107e-32,0.0,-35.01655578613281,-4.841594628918236e-31,-17.841827392578125
25,-31.794368743896484,0.0,-23.099960327148438,-1.0711136498139026e-30,-4.83076456436524e-31,-2.5998965741458823e-31,0.0,-31.794368743896484,-4.83076456436524e-31,-23.099960327148438
26,-27.789297103881836,0.0,-27.789297103881836,-1.0117092434589398e-30,-4.818662614924654e-31,-4.253564394467414e-31,0.0,-27.789297103881836,-4.818662614924654e-31,-27.789297103881836
27,-23.099960327148438,0.0,-31.794368743896484,-9.268859472617958e-31,-4.80920693836664e-31,-5.808063984870525e-31,0.0,-23.099960327148438,-4.80920693836664e-31,-31.794368743896484
28,-17.841827392578125,0.0,-35.01655578613281,-8.19007257184008e-31,-4.804298073957606e-31,-7.217997988625329e-31,0.0,-17.841827392578125,-4.804298073957606e-31,-35.01655578613281
29,-12.144368171691895,0.0,-37.376522064208984,-6.910699315037886e-31,-4.801553529747306e-31,-8.436580319975878e-31,0.0,-12.144368171691895,-4.801553529747306e-31,-37.376522064208984
30,-6.147873878479004,0.0,-38.8161506652832,-5.468502223132673e-31,-4.800431167741141e-31,-9.435192863654792e-31,0.0,-6.147873878479004,-4.800431167741141e-31,-38.8161506652832
31,-0.0,0.0,-39.29999923706055,-3.902033043952879e-31,-4.80175994655531e-31,-1.0197142659484915e-30,0.0,-3.902033043952879e-31,-4.80175994655531e-31,-39.29999923706055
32,6.147873878479004,0.0,-38.8161506652832,-2.2483057436171957e-31,-4.805308058703832e-31,-1.0709345044748373e-30,0.0,6.147873878479004,-4.805308058703832e-31,-38.8161506652832
33,12.144368171691895,0.0,-37.376522064208984,-5.432104568702117e-32,-4.810526783423743e-31,-1.0962802315486233e-30,0.0,12.144368171691895,-4.810526783423743e-31,-37.376522064208984
34,17.841827392578125,0.0,-35.01655578613281,1.1779469022358431e-31,-4.816876803906885e-31,-1.0951622894012172e-30,0.0,17.841827392578125,-4.816876803906885e-31,-35.01655578613281
35,23.099960327148438,0.0,-31.794368743896484,2.878509894189079e-31,-4.823662227497572e-31,-1.0672811620720297e-30,0.0,23.099960327148438,-4.823662227497572e-31,-31.794368743896484
36,27.789297103881836,0.0,-27.789297103881836,4.519314985126173e-31,-4.8301692940259834e-31,-1.012781670465082e-30,0.0,27.789297103881836,-4.8301692940259834e-31,-27.789297103881836
37,31.794368743896484,0.0,-23.099960327148438,6.058854294025239e-31,-4.8357303227008535e-31,-9.324770685920469e-31,0.0,31.794368743896484,-4.8357303227008535e-31,-23.099960327148438
38,35.01655578613281,0.0,-17.841827392578125,7.455125291841565e-31,-4.839853486685798e-31,-8.280401319339186e-31,0.0,35.01655578613281,-4.839853486685798e-31,-17.841827392578125
39,37.376522064208984,0.0,-12.144368171691895,8.668653937879059e-31,-4.842378448551364e-31,-7.020947049410547e-31,0.0,37.376522064208984,-4.842378448551364e-31,-12.144368171691895
40,38.8161506652832,0.0,-6.147873878479004,9.665823914890644e-31,-4.8435713402185785e-31,-5.5813463894274305e-31,0.0,38.8161506652832,-4.8435713402185785e-31,-6.147873878479004
41,35.80722427368164,1.5208330154418945,0.0,-0.0020295819267630577,-0.005099472124129534,-6.684183512455619e-20,0.005488517228513956,35.80519469175488,1.515733543317765,-6.684183512455619e-20
42,35.36637878417969,1.5208330154418945,5.6014838218688965,-0.002004733309149742,-0.005099739413708448,-0.00031764336745254695,0.005488824564963579,35.36437405087054,1.515733276028186,5.601166178501444
43,34.05469512939453,1.5208330154418945,11.065040588378906,-0.0019308611517772079,-0.005100888200104237,-0.0006278210203163326,0.005490122362971306,34.052764268242754,1.5157321272417903,11.06441276735859
44,31.90447235107422,1.5208330154418945,16.256139755249023,-0.00180992076639086,-0.0051038870587944984,-0.0009233746095560491,0.005493459291756153,31.902662430307828,1.5157291283831,16.255216380639467
45,28.96865463256836,1.5208330154418945,21.046958923339844,-0.0016449681716039777,-0.00511012552306056,-0.0011976895621046424,0.005500342231243849,28.967009664396755,1.515722889918834,21.04576123377774
46,25.31953239440918,1.5208330154418945,25.31953239440918,-0.0014399252831935883,-0.005121115129441023,-0.0014448165893554688,0.00551241310313344,25.318092469125986,1.5157119003124535,25.318087577819824
47,21.046958923339844,1.5208330154418945,28.96865463256836,-0.001199344638735056,-0.005138088017702103,-0.0016594498883932829,0.005531017202883959,21.04575957870111,1.5156949274241924,28.966995182679966
48,16.256139755249023,1.5208330154418945,31.90447235107422,-0.0009282662649638951,-0.005161570385098457,-0.0018367989687249064,0.0055567361414432526,16.25521148898406,1.515671445056796,31.902635552105494
49,11.065040588378906,1.5208330154418945,34.05469512939453,-0.0006322202389128506,-0.005191053729504347,-0.0019724383018910885,0.005589029751718044,11.064408368139993,1.5156419617123902,34.05272269109264
50,5.6014838218688965,1.5208330154418945,35.36637878417969,-0.000317370897391811,-0.005224856548011303,-0.0020622590091079473,0.005626078695058823,5.601166450971505,1.5156081588938832,35.36431652517058
51,0.0,1.5208330154418945,35.80722427368164,9.283616236643866e-06,-0.005260260310024023,-0.002102616475895047,0.005664928816258907,9.283616236643866e-06,1.5155727551318705,35.805121657205746
52,-5.6014838218688965,1.5208330154418945,35.36637878417969,0.0003398088738322258,-0.005294224247336388,-0.002090799156576395,0.005702255759388208,-5.601144012995064,1.5155387911945581,35.36428798502311
53,-11.065040588378906,1.5208330154418945,34.05469512939453,0.0006654341705143452,-0.005323686171323061,-0.0020254626870155334,0.005734713282436132,-11.064375154208392,1.5155093292705715,34.052669666707516
54,-16.256139755249023,1.5208330154418945,31.90447235107422,0.0009771600598469377,-0.005347148049622774,-0.0019075153395533562,0.005760681349784136,-16.255162595189176,1.5154858673922718,31.902564835734665
55,-21.046958923339844,1.5208330154418945,28.96865463256836,0.0012654949678108096,-0.0053609744645655155,-0.0017383038066327572,0.0057760910131037235,-21.045693428372033,1.515472040977329,28.966916328761727
56,-25.31953239440918,1.5208330154418945,25.31953239440918,0.0015195917803794146,-0.005358566530048847,-0.0015200660564005375,0.005773560144007206,-25.3180128026288,1.5154744489118457,25.31801232835278
57,-28.96865463256836,1.5208330154418945,21.046958923339844,0.001732456497848034,-0.0053443764336407185,-0.0012612787541002035,0.005758001934736967,-28.96692217607051,1.5154886390082538,21.045697644585744
58,-31.90447235107422,1.5208330154418945,16.256139755249023,0.0019018815364688635,-0.005328834522515535,-0.000972248031757772,0.0057409838773310184,-31.90257046953775,1.515504180919379,16.255167507217266
59,-34.05469512939453,1.5208330154418945,11.065040588378906,0.0020248782820999622,-0.005315148737281561,-0.0006606198148801923,0.005726024508476257,-34.05267025111243,1.515517866704613,11.064379968564026
60,-35.36637878417969,1.5208330154418945,5.6014838218688965,0.0020991454366594553,-0.005305351689457893,-0.00033399093081243336,0.005715305916965008,-35.36427963874303,1.5155276637524366,5.601149830938084
61,-35.80722427368164,1.5208330154418945,0.0,0.0021240077912807465,-0.005301914643496275,3.43532761284218e-20,0.005711541511118412,-35.80510026589036,1.5155311007983983,3.43532761284218e-20
62,-35.36637878417969,1.5208330154418945,-5.6014838218688965,0.0020991454366594553,-0.005305351689457893,0.00033399093081243336,0.005715305916965008,-35.36427963874303,1.5155276637524366,-5.601149830938084
63,-34.05469512939453,1.5208330154418945,-11.065040588378906,0.0020248782820999622,-0.005315148737281561,0.0006606198148801923,0.005726024508476257,-34.05267025111243,1.515517866704613,-11.064379968564026
64,-31.90447235107422,1.5208330154418945,-16.256139755249023,0.0019018815364688635,-0.005328834522515535,0.000972248031757772,0.0057409838773310184,-31.90257046953775,1.515504180919379,-16.255167507217266
65,-28.96865463256836,1.5208330154418945,-21.046958923339844,0.001732456497848034,-0.0053443764336407185,0.0012612787541002035,0.005758001934736967,-28.96692217607051,1.5154886390082538,-21.045697644585744
66,-25.31953239440918,1.5208330154418945,-25.31953239440918,0.0015195917803794146,-0.005358566530048847,0.0015200660564005375,0.005773560144007206,-25.3180128026288,1.5154744489118457,-25.31801232835278
67,-21.046958923339844,1.5208330154418945,-28.96865463256836,0.0012654949678108096,-0.0053609744645655155,0.0017383038066327572,0.0057760910131037235,-21.045693428372033,1.515472040977329,-28.966916328761727
68,-16.256139755249023,1.5208330154418945,-31.90447235107422,0.0009771600598469377,-0.005347148049622774,0.0019075153395533562,0.005760681349784136,-16.255162595189176,1.5154858673922718,-31.902564835734665
69,-11.065040588378906,1.5208330154418945,-34.05469512939453,0.0006654341705143452,-0.005323686171323061,0.0020254626870155334,0.005734713282436132,-11.064375154208392,1.5155093292705715,-34.052669666707516
70,-5.6014838218688965,1.5208330154418945,-35.36637878417969,0.0003398088738322258,-0.005294224247336388,0.002090799156576395,0.005702255759388208,-5.601144012995064,1.5155387911945581,-35.36428798502311
