node_label,x,y,z,ux,uy,uz,umag,scale_factor,scaled_x,scaled_y,scaled_z
1,39.29999923706055,0.0,0.0,0.0,0.0,0.0,0.0,3.171178976791611,39.29999923706055,0.0,0.0
2,38.8161506652832,0.0,6.147873878479004,0.0,0.0,0.0,0.0,3.171178976791611,38.8161506652832,0.0,6.147873878479004
3,37.376522064208984,0.0,12.144368171691895,0.0,0.0,0.0,0.0,3.171178976791611,37.376522064208984,0.0,12.144368171691895
4,35.01655578613281,0.0,17.841827392578125,0.0,0.0,0.0,0.0,3.171178976791611,35.01655578613281,0.0,17.841827392578125
5,31.794368743896484,0.0,23.099960327148438,0.0,0.0,0.0,0.0,3.171178976791611,31.794368743896484,0.0,23.099960327148438
6,27.789297103881836,0.0,27.789297103881836,0.0,0.0,0.0,0.0,3.171178976791611,27.789297103881836,0.0,27.789297103881836
7,23.099960327148438,0.0,31.794368743896484,0.0,0.0,0.0,0.0,3.171178976791611,23.099960327148438,0.0,31.794368743896484
8,17.841827392578125,0.0,35.01655578613281,0.0,0.0,0.0,0.0,3.171178976791611,17.841827392578125,0.0,35.01655578613281
9,12.144368171691895,0.0,37.376522064208984,0.0,0.0,0.0,0.0,3.171178976791611,12.144368171691895,0.0,37.376522064208984
10,6.147873878479004,0.0,38.8161506652832,0.0,0.0,0.0,0.0,3.171178976791611,6.147873878479004,0.0,38.8161506652832
11,0.0,0.0,39.29999923706055,0.0,0.0,0.0,0.0,3.171178976791611,0.0,0.0,39.29999923706055
12,-6.147873878479004,0.0,38.8161506652832,0.0,0.0,0.0,0.0,3.171178976791611,-6.147873878479004,0.0,38.8161506652832
13,-12.144368171691895,0.0,37.376522064208984,0.0,0.0,0.0,0.0,3.171178976791611,-12.144368171691895,0.0,37.376522064208984
14,-17.841827392578125,0.0,35.01655578613281,0.0,0.0,0.0,0.0,3.171178976791611,-17.841827392578125,0.0,35.01655578613281
15,-23.099960327148438,0.0,31.794368743896484,0.0,0.0,0.0,0.0,3.171178976791611,-23.099960327148438,0.0,31.794368743896484
16,-27.789297103881836,0.0,27.789297103881836,0.0,0.0,0.0,0.0,3.171178976791611,-27.789297103881836,0.0,27.789297103881836
17,-31.794368743896484,0.0,23.099960327148438,0.0,0.0,0.0,0.0,3.171178976791611,-31.794368743896484,0.0,23.099960327148438
18,-35.01655578613281,0.0,17.841827392578125,0.0,0.0,0.0,0.0,3.171178976791611,-35.01655578613281,0.0,17.841827392578125
19,-37.376522064208984,0.0,12.144368171691895,0.0,0.0,0.0,0.0,3.171178976791611,-37.376522064208984,0.0,12.144368171691895
20,-38.8161506652832,0.0,6.147873878479004,0.0,0.0,0.0,0.0,3.171178976791611,-38.8161506652832,0.0,6.147873878479004
21,-39.29999923706055,0.0,0.0,0.0,0.0,0.0,0.0,3.171178976791611,-39.29999923706055,0.0,0.0
22,-38.8161506652832,0.0,-6.147873878479004,0.0,0.0,0.0,0.0,3.171178976791611,-38.8161506652832,0.0,-6.147873878479004
23,-37.376522064208984,0.0,-12.144368171691895,0.0,0.0,0.0,0.0,3.171178976791611,-37.376522064208984,0.0,-12.144368171691895
24,-35.01655578613281,0.0,-17.841827392578125,0.0,0.0,0.0,0.0,3.171178976791611,-35.01655578613281,0.0,-17.841827392578125
25,-31.794368743896484,0.0,-23.099960327148438,0.0,0.0,0.0,0.0,3.171178976791611,-31.794368743896484,0.0,-23.099960327148438
26,-27.789297103881836,0.0,-27.789297103881836,0.0,0.0,0.0,0.0,3.171178976791611,-27.789297103881836,0.0,-27.789297103881836
27,-23.099960327148438,0.0,-31.794368743896484,0.0,0.0,0.0,0.0,3.171178976791611,-23.099960327148438,0.0,-31.794368743896484
28,-17.841827392578125,0.0,-35.01655578613281,0.0,0.0,0.0,0.0,3.171178976791611,-17.841827392578125,0.0,-35.01655578613281
29,-12.144368171691895,0.0,-37.376522064208984,0.0,0.0,0.0,0.0,3.171178976791611,-12.144368171691895,0.0,-37.376522064208984
30,-6.147873878479004,0.0,-38.8161506652832,0.0,0.0,0.0,0.0,3.171178976791611,-6.147873878479004,0.0,-38.8161506652832
31,-0.0,0.0,-39.29999923706055,0.0,0.0,0.0,0.0,3.171178976791611,0.0,0.0,-39.29999923706055
32,6.147873878479004,0.0,-38.8161506652832,0.0,0.0,0.0,0.0,3.171178976791611,6.147873878479004,0.0,-38.8161506652832
33,12.144368171691895,0.0,-37.376522064208984,0.0,0.0,0.0,0.0,3.171178976791611,12.144368171691895,0.0,-37.376522064208984
34,17.841827392578125,0.0,-35.01655578613281,0.0,0.0,0.0,0.0,3.171178976791611,17.841827392578125,0.0,-35.01655578613281
35,23.099960327148438,0.0,-31.794368743896484,0.0,0.0,0.0,0.0,3.171178976791611,23.099960327148438,0.0,-31.794368743896484
36,27.789297103881836,0.0,-27.789297103881836,0.0,0.0,0.0,0.0,3.171178976791611,27.789297103881836,0.0,-27.789297103881836
37,31.794368743896484,0.0,-23.099960327148438,0.0,0.0,0.0,0.0,3.171178976791611,31.794368743896484,0.0,-23.099960327148438
38,35.01655578613281,0.0,-17.841827392578125,0.0,0.0,0.0,0.0,3.171178976791611,35.01655578613281,0.0,-17.841827392578125
39,37.376522064208984,0.0,-12.144368171691895,0.0,0.0,0.0,0.0,3.171178976791611,37.376522064208984,0.0,-12.144368171691895
40,38.8161506652832,0.0,-6.147873878479004,0.0,0.0,0.0,0.0,3.171178976791611,38.8161506652832,0.0,-6.147873878479004
41,36.36062240600586,1.338165044784546,0.0,0.25372594594955444,0.5360856056213379,6.331164481565565e-10,0.5930975079536438,3.171178976791611,37.16523279166765,3.0381884470915312,2.007725570255048e-09
42,35.9129638671875,1.338165044784546,5.688055038452148,0.1500522792339325,0.3147181570529938,0.003326255828142166,0.348675012588501,3.171178976791611,36.38880650051381,2.3361926480456003,5.698603191005783
43,34.58100509643555,1.338165044784546,11.23604965209961,-0.06688633561134338,-0.16375994682312012,-0.0465419664978981,0.18291324377059937,3.171178976791611,34.368896555110226,0.8188529441785553,11.088456746402935
44,32.397552490234375,1.338165044784546,16.50737762451172,-0.20802852511405945,-0.5011091828346252,-0.11446576565504074,0.554516613483429,3.171178976791611,31.737856804819703,-0.2509418608978413,16.144386194904097
45,29.416362762451172,1.338165044784546,21.372238159179688,-0.16996580362319946,-0.4230668246746063,-0.10563797503709793,0.46800991892814636,3.171178976791611,28.87737077922779,-0.00345557540154795,21.037241233591207
46,25.71084213256836,1.338165044784546,25.71084213256836,-0.01752118207514286,-0.0034358117263764143,0.01668415404856205,0.02443680912256241,3.171178976791611,25.65527932832313,1.3272694708696469,25.76375057113271
47,21.372238159179688,1.338165044784546,29.416362762451172,0.10239110141992569,0.4076061248779297,0.16470707952976227,0.45139241218566895,3.171178976791611,21.696938667413093,2.6307570188089326,29.9386783903847
48,16.50737762451172,1.338165044784546,32.397552490234375,0.10904505103826523,0.47793248295783997,0.19773410260677338,0.5285915732383728,3.171178976791611,16.853178997887433,2.853774487066263,33.02460271941573
49,11.23604965209961,1.338165044784546,34.58100509643555,0.044248562306165695,0.16039736568927765,0.06421409547328949,0.17834994196891785,3.171178976791611,11.376369762638175,1.8468137987911393,34.78463948601413
50,5.688055038452148,1.338165044784546,35.9129638671875,-0.0023849618155509233,-0.2789745330810547,-0.13422922790050507,0.309596449136734,3.171178976791611,5.680491897682223,0.45348687041764946,35.48729896159845
51,0.0,1.338165044784546,36.36062240600586,-4.6213688619900495e-05,-0.4822377860546112,-0.22816722095012665,0.533491849899292,3.171178976791611,-0.00014655187779142218,-0.19109728416636784,35.63706331173585
52,-5.688055038452148,1.338165044784546,35.9129638671875,0.0031557183247059584,-0.28890538215637207,-0.13689453899860382,0.3197129964828491,3.171178976791611,-5.678047690844165,0.4219943706083126,35.47884678307755
53,-11.23604965209961,1.338165044784546,34.58100509643555,-0.040499087423086166,0.1361301839351654,0.05575217679142952,0.15257754921913147,3.171178976791611,-11.364479506714947,1.7698582221865176,34.757805227386896
54,-16.50737762451172,1.338165044784546,32.397552490234375,-0.10098578780889511,0.4411109685897827,0.18307533860206604,0.48815324902534485,3.171178976791611,-16.827621631766025,2.7370068748086496,32.97811715517825
55,-21.372238159179688,1.338165044784546,29.416362762451172,-0.09454880654811859,0.37902411818504333,0.15214337408542633,0.4192211329936981,3.171178976791611,-21.67206934678582,2.5401183600699344,29.89883663180902
56,-25.71084213256836,1.338165044784546,25.71084213256836,0.013639933429658413,0.007074529305100441,0.017275091260671616,0.023119809105992317,3.171178976791611,-25.66758746243139,1.3605996433875767,25.76562453879636
57,-29.416362762451172,1.338165044784546,21.372238159179688,0.14772476255893707,-0.36577317118644714,-0.09154248982667923,0.4049600660800934,3.171178976791611,-28.947901101072738,0.17823285404368572,21.08194053995816
58,-32.397552490234375,1.338165044784546,16.50737762451172,0.17936860024929047,-0.43311017751693726,-0.09887340664863586,0.47909653186798096,3.171178976791611,-31.828742556027287,-0.03530484479164819,16.193832355983798
59,-34.58100509643555,1.338165044784546,11.23604965209961,0.05740052089095116,-0.1422596126794815,-0.04016662389039993,0.15857483446598053,3.171178976791611,-34.39897777132928,0.8870343518088568,11.108674098849677
60,-35.9129638671875,1.338165044784546,5.688055038452148,-0.12617306411266327,0.2639836370944977,0.002389197703450918,0.2925964891910553,3.171178976791611,-36.31308123553896,2.175304404955603,5.695631611980731
61,-36.36062240600586,1.338165044784546,0.0,-0.21302694082260132,0.4503627121448517,-5.413910986185044e-10,0.4982038140296936,3.171178976791611,-37.03616896223272,2.7663458094691515,-1.716848070161115e-09
62,-35.9129638671875,1.338165044784546,-5.688055038452148,-0.12617307901382446,0.26398366689682007,-0.002389199798926711,0.2925965189933777,3.171178976791611,-36.313081282793206,2.1753044994641013,-5.6956316186258595
63,-34.58100509643555,1.338165044784546,-11.23604965209961,0.05740050971508026,-0.14225958287715912,0.040166620165109634,0.15857478976249695,3.171178976791611,-34.39897780676996,0.8870344463173551,-11.10867411066324
64,-32.397552490234375,1.338165044784546,-16.50737762451172,0.17936860024929047,-0.43311017751693726,0.09887340664863586,0.47909653186798096,3.171178976791611,-31.828742556027287,-0.03530484479164819,-16.193832355983798
65,-29.416362762451172,1.338165044784546,-21.372238159179688,0.14772476255893707,-0.36577320098876953,0.09154248982667923,0.4049600660800934,3.171178976791611,-28.947901101072738,0.17823275953518736,-21.08194053995816
66,-25.71084213256836,1.338165044784546,-25.71084213256836,0.013639941811561584,0.007074506022036076,-0.01727508381009102,0.02311979979276657,3.171178976791611,-25.667587435850873,1.3605995695528124,-25.765624515169232
67,-21.372238159179688,1.338165044784546,-29.416362762451172,-0.09454880654811859,0.37902408838272095,-0.15214337408542633,0.4192211329936981,3.171178976791611,-21.67206934678582,2.540118265561436,-29.89883663180902
68,-16.50737762451172,1.338165044784546,-32.397552490234375,-0.10098578780889511,0.4411109983921051,-0.18307533860206604,0.48815327882766724,3.171178976791611,-16.827621631766025,2.7370069693171475,-32.97811715517825
69,-11.23604965209961,1.338165044784546,-34.58100509643555,-0.040499091148376465,0.1361302137374878,-0.055752187967300415,0.15257757902145386,3.171178976791611,-11.364479518528508,1.7698583166950157,-34.75780526282758
70,-5.688055038452148,1.338165044784546,-35.9129638671875,0.0031557162292301655,-0.2889053523540497,0.13689452409744263,0.31971296668052673,3.171178976791611,-5.678047697489293,0.4219944651168108,-35.4788468303318
71,-0.0,1.338165044784546,-36.36062240600586,-4.621484549716115e-05,-0.4822377860546112,0.22816722095012665,0.533491849899292,3.171178976791611,-0.0001465555464562699,-0.19109728416636784,-35.63706331173585
72,5.688055038452148,1.338165044784546,-35.9129638671875,-0.00238496414385736,-0.2789745628833771,0.13422922790050507,0.3095964789390564,3.171178976791611,5.680491890298746,0.4534867759091512,-35.48729896159845
73,11.23604965209961,1.338165044784546,-34.58100509643555,0.0442485585808754,0.16039733588695526,-0.06421408802270889,0.17834991216659546,3.171178976791611,11.376369750824614,1.8468137042826411,-34.784639462387005
