node_label,x,y,z,ux,uy,uz,umag,deformed_x,deformed_y,deformed_z
1,39.29999923706055,0.0,0.0,9.49005647639185e-31,-4.74347658565284e-31,2.7614106734432154e-31,0.0,39.29999923706055,-4.74347658565284e-31,2.7614106734432154e-31
2,38.8161506652832,0.0,6.147873878479004,9.811266420324665e-31,-4.745513952461685e-31,-1.260189541645079e-31,0.0,38.8161506652832,-4.745513952461685e-31,6.147873878479004
3,37.376522064208984,0.0,12.144368171691895,9.891845147480311e-31,-4.746303414467697e-31,2.706668312948444e-32,0.0,37.376522064208984,-4.746303414467697e-31,12.144368171691895
4,35.01655578613281,0.0,17.841827392578125,9.733469383000804e-31,-4.746846492857777e-31,1.792701177906564e-31,0.0,35.01655578613281,-4.746846492857777e-31,17.841827392578125
5,31.794368743896484,0.0,23.099960327148438,9.343691442991304e-31,-4.7481522319826705e-31,3.26969090425572e-31,0.0,31.794368743896484,-4.7481522319826705e-31,23.099960327148438
6,27.789297103881836,0.0,27.789297103881836,8.734076311072943e-31,-4.75085304780312e-31,4.668142444092822e-31,0.0,27.789297103881836,-4.75085304780312e-31,27.789297103881836
7,23.099960327148438,0.0,31.794368743896484,7.918944329625178e-31,-4.75494235755076e-31,5.9567640202495445e-31,0.0,23.099960327148438,-4.75494235755076e-31,31.794368743896484
8,17.841827392578125,0.0,35.01655578613281,6.915234842441099e-31,-4.759767996959756e-31,7.105720410607668e-31,0.0,17.841827392578125,-4.759767996959756e-31,35.01655578613281
9,12.144368171691895,0.0,37.376522064208984,5.743368067185449e-31,-4.764272961509847e-31,8.0864306455213e-31,0.0,12.144368171691895,-4.764272961509847e-31,37.376522064208984
10,6.147873878479004,0.0,38.8161506652832,4.428067471242463e-31,-4.767038194420722e-31,8.871648646729339e-31,0.0,6.147873878479004,-4.767038194420722e-31,38.8161506652832
11,0.0,0.0,39.29999923706055,2.999958914230726e-31,-4.766856227895214e-31,9.437318157441079e-31,0.0,2.999958914230726e-31,-4.766856227895214e-31,39.29999923706055
