node_label,x,y,z,ux,uy,uz,umag,deformed_x,deformed_y,deformed_z
1,39.29999923706055,0.0,0.0,1.709893642932097e-30,-1.1798274110785146e-30,-1.9139159219240917e-31,0.0,39.29999923706055,-1.1798274110785146e-30,-1.9139159219240917e-31
2,36.308467864990234,0.0,15.039459228515625,1.515906041995558e-30,-1.1803050379431407e-30,8.137977483398077e-31,0.0,36.308467864990234,-1.1803050379431407e-30,15.039459228515625
3,27.789297103881836,0.0,27.789297103881836,1.0892701474776075e-30,-1.1740101246351653e-30,1.3130080058006897e-30,0.0,27.789297103881836,-1.1740101246351653e-30,27.789297103881836
4,15.039459228515625,0.0,36.308467864990234,5.009248335209914e-31,-1.1643144591504869e-30,1.607171047235208e-30,0.0,15.039459228515625,-1.1643144591504869e-30,36.308467864990234
5,0.0,0.0,39.29999923706055,-1.4560760361559364e-31,-1.1641954050826356e-30,1.6701719020663987e-30,0.0,-1.4560760361559364e-31,-1.1641954050826356e-30,39.29999923706055
6,-15.039459228515625,0.0,36.308467864990234,-7.683756592087799e-31,-1.1701719004808603e-30,1.4943612053754948e-30,0.0,-15.039459228515625,-1.1701719004808603e-30,36.308467864990234
7,-27.789297103881836,0.0,27.789297103881836,-1.2786512211521443e-30,-1.1684938587851745e-30,1.0820805419093342e-30,0.0,-27.789297103881836,-1.1684938587851745e-30,27.789297103881836
8,-36.308467864990234,0.0,15.039459228515625,-1.5857612514061674e-30,-1.160277529431119e-30,4.841222232307895e-31,0.0,-36.308467864990234,-1.160277529431119e-30,15.039459228515625
9,-39.29999923706055,0.0,0.0,-1.6361457604688526e-30,-1.1564417503050637e-30,-1.9470569868051297e-31,0.0,-39.29999923706055,-1.1564417503050637e-30,-1.9470569868051297e-31
10,-36.308467864990234,0.0,-15.039459228515625,-1.4307008511937188e-30,-1.160034531238917e-30,-8.266763704078687e-31,0.0,-36.308467864990234,-1.160034531238917e-30,-15.039459228515625
11,-27.789297103881836,0.0,-27.789297103881836,-1.0060040521568848e-30,-1.1614022424259857e-30,-1.3159598131749266e-30,0.0,-27.789297103881836,-1.1614022424259857e-30,-27.789297103881836
12,-15.039459228515625,0.0,-36.308467864990234,-4.269525726960619e-31,-1.1564731595141177e-30,-1.599410151412435e-30,0.0,-15.039459228515625,-1.1564731595141177e-30,-36.308467864990234
13,-0.0,0.0,-39.29999923706055,2.220810225454852e-31,-1.156726596096155e-30,-1.6483238819433715e-30,0.0,2.220810225454852e-31,-1.156726596096155e-30,-39.29999923706055
14,15.039459228515625,0.0,-36.308467864990234,8.51566569910824e-31,-1.1661774766372181e-30,-1.4544520436905013e-30,0.0,15.039459228515625,-1.1661774766372181e-30,-36.308467864990234
15,27.789297103881836,0.0,-27.789297103881836,1.355112802853923e-30,-1.174344341188991e-30,-1.0345853979609702e-30,0.0,27.789297103881836,-1.174344341188991e-30,-27.789297103881836
16,36.308467864990234,0.0,-15.039459228515625,1.6531625928495483e-30,-1.17768791732047e-30,-4.561361477659606e-31,0.0,36.308467864990234,-1.17768791732047e-30,-15.039459228515625
17,36.44489288330078,1.5236430168151855,0.0,-0.000450586318038404,-0.0010714366799220443,1.4132816327759775e-19,0.0011623272439464927,36.44444229698274,1.5225715801352635,1.4132816327759775e-19
18,33.67068862915039,1.5236430168151855,13.946855545043945,-0.00042098815902136266,-0.0010817203437909484,-0.00017669810040388256,0.0011741261696442962,33.67026764099137,1.5225612964713946,13.946678846943541
19,25.770429611206055,1.5236430168151855,25.770429611206055,-0.0003326818987261504,-0.0011122343130409718,-0.0003377363318577409,0.0012090526288375258,25.77009692930733,1.5225307825021446,25.770091874874197
20,13.946855545043945,1.5236430168151855,33.67068862915039,-0.00018870149506255984,-0.001157261780463159,-0.000464361859485507,0.0012611483689397573,13.946666843548883,1.5224857550347224,33.670224267290905
21,0.0,1.5236430168151855,36.44489288330078,2.699120614124695e-06,-0.001207310357131064,-0.0005308124236762524,0.0013188507873564959,2.699120614124695e-06,1.5224357064580545,36.444362070877105
