job_name,case_id,mesh_level,case_variant,load_case,input_path,material_ok,gravity_ok,wind_ok,status,details
task7_s1_bfgs_coarse,s1_bfgs,coarse,comparison,combined,C:\Users\achille.larregle\OneDrive - ESTIA\Bureau\CRANFIELD\CRANFIELD COURSE\GroupProject2026\group_project\tasks\Task_07_Abaqus\results\inputs\task7_s1_bfgs_coarse.inp,yes,yes,yes,pass,
task7_s1_bfgs_refined,s1_bfgs,refined,comparison,combined,C:\Users\achille.larregle\OneDrive - ESTIA\Bureau\CRANFIELD\CRANFIELD COURSE\GroupProject2026\group_project\tasks\Task_07_Abaqus\results\inputs\task7_s1_bfgs_refined.inp,yes,yes,yes,pass,
task7_s1_bfgs_refined_gravity_only,s1_bfgs,refined,load_decomposition,gravity_only,C:\Users\achille.larregle\OneDrive - ESTIA\Bureau\CRANFIELD\CRANFIELD COURSE\GroupProject2026\group_project\tasks\Task_07_Abaqus\results\inputs\task7_s1_bfgs_refined_gravity_only.inp,yes,yes,yes,pass,
task7_s1_bfgs_refined_wind_only,s1_bfgs,refined,load_decomposition,wind_only,C:\Users\achille.larregle\OneDrive - ESTIA\Bureau\CRANFIELD\CRANFIELD COURSE\GroupProject2026\group_project\tasks\Task_07_Abaqus\results\inputs\task7_s1_bfgs_refined_wind_only.inp,yes,yes,yes,pass,
task7_s1_pso_coarse,s1_pso,coarse,comparison,combined,C:\Users\achille.larregle\OneDrive - ESTIA\Bureau\CRANFIELD\CRANFIELD COURSE\GroupProject2026\group_project\tasks\Task_07_Abaqus\results\inputs\task7_s1_pso_coarse.inp,yes,yes,yes,pass,
task7_s1_pso_refined,s1_pso,refined,comparison,combined,C:\Users\achille.larregle\OneDrive - ESTIA\Bureau\CRANFIELD\CRANFIELD COURSE\GroupProject2026\group_project\tasks\Task_07_Abaqus\results\inputs\task7_s1_pso_refined.inp,yes,yes,yes,pass,
task7_s1_pso_refined_gravity_only,s1_pso,refined,load_decomposition,gravity_only,C:\Users\achille.larregle\OneDrive - ESTIA\Bureau\CRANFIELD\CRANFIELD COURSE\GroupProject2026\group_project\tasks\Task_07_Abaqus\results\inputs\task7_s1_pso_refined_gravity_only.inp,yes,yes,yes,pass,
task7_s1_pso_refined_wind_only,s1_pso,refined,load_decomposition,wind_only,C:\Users\achille.larregle\OneDrive - ESTIA\Bureau\CRANFIELD\CRANFIELD COURSE\GroupProject2026\group_project\tasks\Task_07_Abaqus\results\inputs\task7_s1_pso_refined_wind_only.inp,yes,yes,yes,pass,
task7_s1_sa_coarse,s1_sa,coarse,comparison,combined,C:\Users\achille.larregle\OneDrive - ESTIA\Bureau\CRANFIELD\CRANFIELD COURSE\GroupProject2026\group_project\tasks\Task_07_Abaqus\results\inputs\task7_s1_sa_coarse.inp,yes,yes,yes,pass,
task7_s1_sa_refined,s1_sa,refined,comparison,combined,C:\Users\achille.larregle\OneDrive - ESTIA\Bureau\CRANFIELD\CRANFIELD COURSE\GroupProject2026\group_project\tasks\Task_07_Abaqus\results\inputs\task7_s1_sa_refined.inp,yes,yes,yes,pass,
