case_id,case_label,scenario_id,algorithm,selection_status,combined_max_displacement_mm,gravity_only_max_displacement_mm,wind_only_max_displacement_mm,wind_to_gravity_disp_ratio,displacement_driver,combined_max_mises_mpa,gravity_only_max_mises_mpa,wind_only_max_mises_mpa,wind_to_gravity_stress_ratio,stress_driver,combined_reaction_resultant_n,gravity_only_reaction_resultant_n,wind_only_reaction_resultant_n,wind_to_gravity_reaction_ratio
s1_bfgs,S1 / BFGS,S1,BFGS,warning_noncompliant,4.264459479600191,4.049655515700579,0.29948828159831464,0.07395401422101061,gravity,2.2621645,2.224151,0.165588640625,0.07445026917012379,gravity,38013321.57161061,38076410.0,1086650.278680746,0.028538674698605934
s1_pso,S1 / PSO,S1,PSO,engineering_feasible,4.125629086047411,3.9185211062431335,0.4180537071079016,0.10668660338254728,gravity,2.24379875,2.211486,0.1612335625,0.0729073403584739,gravity,38122578.53582303,38185779.0,1084223.9243606105,0.02839339546695147
s1_sa,S1 / SA,S1,SA,engineering_feasible,4.627135116606951,4.410698544234037,0.3032492531929165,0.06875311249492315,gravity,2.3684795,2.31958375,0.1651194375,0.07118494320371058,gravity,38007161.20907711,38070252.25,1086431.4932692563,0.028537543857993647
s2_bfgs,S2 / BFGS,S2,BFGS,engineering_feasible,10.202251374721527,10.019508190453053,0.2784990065265447,0.027795676317916337,gravity,3.867362,3.81817075,0.160844203125,0.04212598483842033,gravity,37819458.42006728,37882286.0,1092914.7892987817,0.0288502861020262
s2_pso,S2 / PSO,S2,PSO,mathematical_fallback,94.04045343399048,44.47288438677788,55.530209094285965,1.2486307074518312,wind,10.268319,9.985701,2.478419,0.24819679659945756,gravity,44312205.66299516,44379616.0,996261.8736608855,0.0224486366367137
s2_sa,S2 / SA,S2,SA,engineering_feasible,9.967667981982231,9.789750911295414,0.2769835409708321,0.028293216393406755,gravity,3.81822925,3.76942825,0.15963865625,0.04235089399831394,gravity,37830557.819488384,37893407.5,1092322.4037598555,0.02882618576225576
s3_bfgs,S3 / BFGS,S3,BFGS,engineering_feasible,10.152853094041348,9.970204904675484,0.2770310384221375,0.02778589217281031,gravity,3.833903,3.78381925,0.16228528125,0.042889279462807316,gravity,37819546.47514202,37882375.5,1092898.688441452,0.028849792918647674
s3_pso,S3 / PSO,S3,PSO,engineering_feasible,9.850465692579746,9.674887172877789,0.27065357426181436,0.027974855874345936,gravity,3.79397475,3.74535,0.157428578125,0.042033075179889724,gravity,37827181.949350394,37890037.25,1092083.9466345182,0.02882245640005324
s3_sa,S3 / SA,S3,SA,engineering_feasible,9.036135859787464,8.836033754050732,0.301025080261752,0.034067896144438344,gravity,3.5262825,3.4725255,0.1705401875,0.04911128442397327,gravity,37824703.38307022,37887542.75,1092604.5915350234,0.028838095907790785
s4_bfgs,S4 / BFGS,S4,BFGS,engineering_feasible,3.8307353388518095,3.6207647062838078,0.28236513026058674,0.0779849432829878,gravity,2.28151625,2.23788175,0.175782703125,0.07854870040608714,gravity,38002732.07013993,38065832.25,1086068.9837515317,0.02853133425846828
s4_pso,S4 / PSO,S4,PSO,warning_noncompliant,12.072882615029812,11.847604997456074,1.9463534699752927,0.1642824410835114,gravity,4.541389,4.4724645,0.18497525,0.04135868490403893,gravity,38745171.443608,38808454.75,1090102.5221104685,0.028089305001520796
s4_sa,S4 / SA,S4,SA,engineering_feasible,4.286723677068949,4.073949530720711,0.3026941849384457,0.07429993490491202,gravity,2.2962425,2.25139975,0.184567203125,0.08197886809083993,gravity,37954774.92492032,38017819.5,1087332.933953185,0.028600612771944617
s5_bfgs,S5 / BFGS,S5,BFGS,engineering_feasible,8.695249445736408,8.506753481924534,0.2877125225495547,0.03382165983308403,gravity,4.14809925,4.0932135,0.180953765625,0.04420824020662494,gravity,37824024.339272104,37886838.25,1093446.8929985096,0.028860864181468337
s5_pso,S5 / PSO,S5,PSO,engineering_feasible,11.481010355055332,11.379909701645374,0.28762980946339667,0.025275227748231557,gravity,4.940802,4.9319755,0.2090268125,0.042381964894188946,gravity,37850688.03821415,37913490.25,1094267.2972523598,0.028862214743005883
s5_sa,S5 / SA,S5,SA,engineering_feasible,10.228931903839111,10.11577621102333,0.25651007308624685,0.025357428608070977,gravity,4.6418235,4.5912135,0.179708796875,0.03914189502949492,gravity,37857936.51579844,37920771.25,1093244.6667778709,0.028829705481738344
s6_bfgs,S6 / BFGS,S6,BFGS,engineering_feasible,10.52236557006836,10.35271491855383,0.27383328415453434,0.02645038391463658,gravity,5.312105,5.267229,0.158958875,0.03017884261345007,gravity,37820100.461516954,37882897.0,1093997.1697866383,0.02887839253124275
