case_id,case_label,scenario_id,algorithm,selection_status,coarse_job_name,refined_job_name,coarse_max_displacement_m,refined_max_displacement_m,delta_max_displacement_percent,pass_max_displacement,coarse_max_mises_pa,refined_max_mises_pa,delta_max_mises_percent,pass_max_mises,coarse_buckling_factor_1,refined_buckling_factor_1,delta_buckling_factor_1_percent,pass_buckling_factor_1,all_criteria_pass
s1_bfgs,S1 / BFGS,S1,BFGS,warning_noncompliant,task7_s1_bfgs_coarse,task7_s1_bfgs_refined,0.003924520220607519,0.004264459479600191,8.661931647279143,no,2176199.5,2262164.5,3.9502352610594755,yes,43.001,20.907,-51.380200460454404,no,no
s1_pso,S1 / PSO,S1,PSO,engineering_feasible,task7_s1_pso_coarse,task7_s1_pso_refined,0.003525280626490712,0.004125629086047411,17.02980622437209,no,2071490.75,2243798.75,8.318067555937674,no,43.816,21.3,-51.38762096037978,no,no
s1_sa,S1 / SA,S1,SA,engineering_feasible,task7_s1_sa_coarse,task7_s1_sa_refined,0.004222350660711527,0.004627135116606951,9.586708646960457,no,2316679.25,2368479.5,2.2359698693722923,yes,42.677,21.481,-49.66609649225578,no,no
s2_bfgs,S2 / BFGS,S2,BFGS,engineering_feasible,task7_s2_bfgs_coarse,task7_s2_bfgs_refined,0.008022654801607132,0.010202251374721527,27.168021397078796,no,3844428.0,3867362.0,0.596551684671946,yes,45.356,23.563,-48.04876973278067,no,no
s2_pso,S2 / PSO,S2,PSO,mathematical_fallback,task7_s2_pso_coarse,task7_s2_pso_refined,0.10622581094503403,0.09404045343399048,-11.47118332412524,no,25744776.0,10268319.0,-60.11494137684476,no,-3.4222,-3.2291,-5.642569107591616,yes,no
s2_sa,S2 / SA,S2,SA,engineering_feasible,task7_s2_sa_coarse,task7_s2_sa_refined,0.007942973636090755,0.009967667981982231,25.490382300802363,no,3864090.75,3818229.25,-1.1868639472300178,yes,46.099,24.549,-46.7472179439901,no,no
s3_bfgs,S3 / BFGS,S3,BFGS,engineering_feasible,task7_s3_bfgs_coarse,task7_s3_bfgs_refined,0.008021469227969646,0.010152853094041348,26.570990993020192,no,3862044.5,3833903.0,-0.728668455270259,yes,45.297,23.529,-48.05616265977879,no,no
s3_pso,S3 / PSO,S3,PSO,engineering_feasible,task7_s3_pso_coarse,task7_s3_pso_refined,0.007737580221146345,0.009850465692579746,27.30679890928964,no,3740009.25,3793974.75,1.4429242387568961,yes,47.006,23.496,-50.01489171595116,no,no
s3_sa,S3 / SA,S3,SA,engineering_feasible,task7_s3_sa_coarse,task7_s3_sa_refined,0.007457778323441744,0.009036135859787464,21.16391058962601,no,3656956.0,3526282.5,-3.5732860882110695,yes,44.445,23.834,-46.37417032287096,no,no
s4_bfgs,S4 / BFGS,S4,BFGS,engineering_feasible,task7_s4_bfgs_coarse,task7_s4_bfgs_refined,0.004064856097102165,0.0038307353388518095,-5.759632140908022,no,2132035.0,2281516.25,7.011200566594826,no,41.499,20.267,-51.1626786187619,no,no
s4_pso,S4 / PSO,S4,PSO,warning_noncompliant,task7_s4_pso_coarse,task7_s4_pso_refined,0.010359994135797024,0.012072882615029812,16.533681938237997,no,4689169.0,4541389.0,-3.1515178915496542,yes,-38.575,22.491,-158.30460142579392,no,no
s4_sa,S4 / SA,S4,SA,engineering_feasible,task7_s4_sa_coarse,task7_s4_sa_refined,0.004643900319933891,0.004286723677068949,-7.691307268843944,no,2263798.5,2296242.5,1.4331664236017472,yes,38.745,19.753,-49.0179377984256,no,no
s5_bfgs,S5 / BFGS,S5,BFGS,engineering_feasible,task7_s5_bfgs_coarse,task7_s5_bfgs_refined,0.009238970465958118,0.008695249445736408,-5.885082350085466,no,3755517.5,4148099.25,10.453466133495583,no,42.324,22.725,-46.307059824213205,no,no
