case_id,case_label,job_name,wind_axis,camera_elev_deg,camera_azim_deg,view_dir_x,view_dir_y,view_dir_z,wind_dir_x,wind_dir_y,wind_dir_z,perpendicularity_abs_dot,perpendicularity_tol,perpendicular_pass,projected_direction_sign,left_to_right_pass,min_arrow_clearance,required_arrow_clearance,arrow_clearance_pass,arrow_count,overall_pass
s1_bfgs,S1 / BFGS,task7_s1_bfgs_refined,+X,8.0,270.0,1.8190929310232928e-16,0.9902680687415704,-0.13917310096006544,1.0,0.0,0.0,1.8190929310232928e-16,0.02,yes,1.0,yes,7.859999847412112,6.287999877929687,yes,3,yes
s1_pso,S1 / PSO,task7_s1_pso_refined,+X,8.0,270.0,1.8190929310232928e-16,0.9902680687415704,-0.13917310096006544,1.0,0.0,0.0,1.8190929310232928e-16,0.02,yes,1.0,yes,7.859999847412112,6.287999877929687,yes,3,yes
s1_sa,S1 / SA,task7_s1_sa_refined,+X,8.0,270.0,1.8190929310232928e-16,0.9902680687415704,-0.13917310096006544,1.0,0.0,0.0,1.8190929310232928e-16,0.02,yes,1.0,yes,7.859999847412112,6.287999877929687,yes,3,yes
s2_bfgs,S2 / BFGS,task7_s2_bfgs_refined,+X,8.0,270.0,1.8190929310232928e-16,0.9902680687415704,-0.13917310096006544,1.0,0.0,0.0,1.8190929310232928e-16,0.02,yes,1.0,yes,7.859999847412112,6.287999877929687,yes,3,yes
s2_pso,S2 / PSO,task7_s2_pso_refined,+X,8.0,270.0,1.8190929310232928e-16,0.9902680687415704,-0.13917310096006544,1.0,0.0,0.0,1.8190929310232928e-16,0.02,yes,1.0,yes,7.859999847412112,6.287999877929687,yes,3,yes
s2_sa,S2 / SA,task7_s2_sa_refined,+X,8.0,270.0,1.8190929310232928e-16,0.9902680687415704,-0.13917310096006544,1.0,0.0,0.0,1.8190929310232928e-16,0.02,yes,1.0,yes,7.859999847412112,6.287999877929687,yes,3,yes
s3_bfgs,S3 / BFGS,task7_s3_bfgs_refined,+X,8.0,270.0,1.8190929310232928e-16,0.9902680687415704,-0.13917310096006544,1.0,0.0,0.0,1.8190929310232928e-16,0.02,yes,1.0,yes,7.859999847412112,6.287999877929687,yes,3,yes
s3_pso,S3 / PSO,task7_s3_pso_refined,+X,8.0,270.0,1.8190929310232928e-16,0.9902680687415704,-0.13917310096006544,1.0,0.0,0.0,1.8190929310232928e-16,0.02,yes,1.0,yes,7.859999847412112,6.287999877929687,yes,3,yes
s3_sa,S3 / SA,task7_s3_sa_refined,+X,8.0,270.0,1.8190929310232928e-16,0.9902680687415704,-0.13917310096006544,1.0,0.0,0.0,1.8190929310232928e-16,0.02,yes,1.0,yes,7.859999847412112,6.287999877929687,yes,3,yes
s4_bfgs,S4 / BFGS,task7_s4_bfgs_refined,+X,8.0,270.0,1.8190929310232928e-16,0.9902680687415704,-0.13917310096006544,1.0,0.0,0.0,1.8190929310232928e-16,0.02,yes,1.0,yes,7.859999847412112,6.287999877929687,yes,3,yes
s4_pso,S4 / PSO,task7_s4_pso_refined,+X,8.0,270.0,1.8190929310232928e-16,0.9902680687415704,-0.13917310096006544,1.0,0.0,0.0,1.8190929310232928e-16,0.02,yes,1.0,yes,7.859999847412112,6.287999877929687,yes,3,yes
s4_sa,S4 / SA,task7_s4_sa_refined,+X,8.0,270.0,1.8190929310232928e-16,0.9902680687415704,-0.13917310096006544,1.0,0.0,0.0,1.8190929310232928e-16,0.02,yes,1.0,yes,7.859999847412112,6.287999877929687,yes,3,yes
s5_bfgs,S5 / BFGS,task7_s5_bfgs_refined,+X,8.0,270.0,1.8190929310232928e-16,0.9902680687415704,-0.13917310096006544,1.0,0.0,0.0,1.8190929310232928e-16,0.02,yes,1.0,yes,7.859999847412112,6.287999877929687,yes,3,yes
s5_pso,S5 / PSO,task7_s5_pso_refined,+X,8.0,270.0,1.8190929310232928e-16,0.9902680687415704,-0.13917310096006544,1.0,0.0,0.0,1.8190929310232928e-16,0.02,yes,1.0,yes,7.859999847412112,6.287999877929687,yes,3,yes
