job_name,case_id,mesh_level,case_variant,load_case,unit_system,q_ref_pa,max_abs_coord_m,shell_thickness_m,youngs_modulus_pa,poisson_ratio,density_kg_m3,gravity_acceleration_m_s2,gravity_direction,wind_speed_m_s,wind_direction_axis,unit_declared_si_ok,geometry_scale_m_ok,shell_thickness_m_ok,elastic_pa_ok,poisson_ratio_ok,density_kg_m3_ok,gravity_m_s2_ok,gravity_direction_ok,wind_speed_m_s_ok,wind_pressure_basis_ok,status
task7_s1_bfgs_coarse,s1_bfgs,coarse,comparison,combined,SI,562.500000,39.300000,0.200000,33000000000.000000,0.200000,2500.000000,9.810000,"0.000000,-1.000000,0.000000",30.000000,+X,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,pass
task7_s1_bfgs_refined,s1_bfgs,refined,comparison,combined,SI,562.500000,39.300000,0.200000,33000000000.000000,0.200000,2500.000000,9.810000,"0.000000,-1.000000,0.000000",30.000000,+X,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,pass
task7_s1_bfgs_refined_gravity_only,s1_bfgs,refined,load_decomposition,gravity_only,SI,562.500000,39.300000,0.200000,33000000000.000000,0.200000,2500.000000,9.810000,"0.000000,-1.000000,0.000000",30.000000,+X,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,pass
task7_s1_bfgs_refined_wind_only,s1_bfgs,refined,load_decomposition,wind_only,SI,562.500000,39.300000,0.200000,33000000000.000000,0.200000,2500.000000,9.810000,"0.000000,-1.000000,0.000000",30.000000,+X,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,pass
task7_s1_pso_coarse,s1_pso,coarse,comparison,combined,SI,562.500000,39.300000,0.200000,33000000000.000000,0.200000,2500.000000,9.810000,"0.000000,-1.000000,0.000000",30.000000,+X,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,pass
task7_s1_pso_refined,s1_pso,refined,comparison,combined,SI,562.500000,39.300000,0.200000,33000000000.000000,0.200000,2500.000000,9.810000,"0.000000,-1.000000,0.000000",30.000000,+X,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,pass
task7_s1_pso_refined_gravity_only,s1_pso,refined,load_decomposition,gravity_only,SI,562.500000,39.300000,0.200000,33000000000.000000,0.200000,2500.000000,9.810000,"0.000000,-1.000000,0.000000",30.000000,+X,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,pass
task7_s1_pso_refined_wind_only,s1_pso,refined,load_decomposition,wind_only,SI,562.500000,39.300000,0.200000,33000000000.000000,0.200000,2500.000000,9.810000,"0.000000,-1.000000,0.000000",30.000000,+X,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,pass
task7_s1_sa_coarse,s1_sa,coarse,comparison,combined,SI,562.500000,39.300000,0.200000,33000000000.000000,0.200000,2500.000000,9.810000,"0.000000,-1.000000,0.000000",30.000000,+X,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,pass
task7_s1_sa_refined,s1_sa,refined,comparison,combined,SI,562.500000,39.300000,0.200000,33000000000.000000,0.200000,2500.000000,9.810000,"0.000000,-1.000000,0.000000",30.000000,+X,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,pass
task7_s1_sa_refined_gravity_only,s1_sa,refined,load_decomposition,gravity_only,SI,562.500000,39.300000,0.200000,33000000000.000000,0.200000,2500.000000,9.810000,"0.000000,-1.000000,0.000000",30.000000,+X,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,pass
task7_s1_sa_refined_wind_only,s1_sa,refined,load_decomposition,wind_only,SI,562.500000,39.300000,0.200000,33000000000.000000,0.200000,2500.000000,9.810000,"0.000000,-1.000000,0.000000",30.000000,+X,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,pass
task7_s2_bfgs_coarse,s2_bfgs,coarse,comparison,combined,SI,562.500000,39.300000,0.200000,33000000000.000000,0.200000,2500.000000,9.810000,"0.000000,-1.000000,0.000000",30.000000,+X,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,pass
task7_s2_bfgs_refined,s2_bfgs,refined,comparison,combined,SI,562.500000,39.300000,0.200000,33000000000.000000,0.200000,2500.000000,9.810000,"0.000000,-1.000000,0.000000",30.000000,+X,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,pass
task7_s2_bfgs_refined_gravity_only,s2_bfgs,refined,load_decomposition,gravity_only,SI,562.500000,39.300000,0.200000,33000000000.000000,0.200000,2500.000000,9.810000,"0.000000,-1.000000,0.000000",30.000000,+X,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,pass
task7_s2_bfgs_refined_wind_only,s2_bfgs,refined,load_decomposition,wind_only,SI,562.500000,39.300000,0.200000,33000000000.000000,0.200000,2500.000000,9.810000,"0.000000,-1.000000,0.000000",30.000000,+X,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,pass
task7_s2_pso_coarse,s2_pso,coarse,comparison,combined,SI,562.500000,39.300000,0.200000,33000000000.000000,0.200000,2500.000000,9.810000,"0.000000,-1.000000,0.000000",30.000000,+X,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,pass
task7_s2_pso_refined,s2_pso,refined,comparison,combined,SI,562.500000,39.300000,0.200000,33000000000.000000,0.200000,2500.000000,9.810000,"0.000000,-1.000000,0.000000",30.000000,+X,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,pass
task7_s2_pso_refined_gravity_only,s2_pso,refined,load_decomposition,gravity_only,SI,562.500000,39.300000,0.200000,33000000000.000000,0.200000,2500.000000,9.810000,"0.000000,-1.000000,0.000000",30.000000,+X,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,pass
task7_s2_pso_refined_wind_only,s2_pso,refined,load_decomposition,wind_only,SI,562.500000,39.300000,0.200000,33000000000.000000,0.200000,2500.000000,9.810000,"0.000000,-1.000000,0.000000",30.000000,+X,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,pass
task7_s2_sa_coarse,s2_sa,coarse,comparison,combined,SI,562.500000,39.300000,0.200000,33000000000.000000,0.200000,2500.000000,9.810000,"0.000000,-1.000000,0.000000",30.000000,+X,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,pass
task7_s2_sa_refined,s2_sa,refined,comparison,combined,SI,562.500000,39.300000,0.200000,33000000000.000000,0.200000,2500.000000,9.810000,"0.000000,-1.000000,0.000000",30.000000,+X,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,pass
task7_s2_sa_refined_gravity_only,s2_sa,refined,load_decomposition,gravity_only,SI,562.500000,39.300000,0.200000,33000000000.000000,0.200000,2500.000000,9.810000,"0.000000,-1.000000,0.000000",30.000000,+X,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,pass
task7_s2_sa_refined_wind_only,s2_sa,refined,load_decomposition,wind_only,SI,562.500000,39.300000,0.200000,33000000000.000000,0.200000,2500.000000,9.810000,"0.000000,-1.000000,0.000000",30.000000,+X,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,pass
task7_s3_bfgs_coarse,s3_bfgs,coarse,comparison,combined,SI,562.500000,39.300000,0.200000,33000000000.000000,0.200000,2500.000000,9.810000,"0.000000,-1.000000,0.000000",30.000000,+X,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,pass
