overall_rank,case_id,case_label,scenario_id,algorithm,selection_status,weighted_score,weighted_metric_score,penalty_points,rank_buckling_factor_1,rank_max_displacement_m,rank_max_mises_pa,rank_task6_area_m2,buckling_factor_1,max_displacement_m,max_mises_pa,task6_area_m2
1,s7_bfgs,S7 / BFGS,S7,BFGS,engineering_feasible,6.750000,6.750000,0.000000,3,12,11,2,24.948000,0.010104687884,4133531.250000000000,7740.659883
2,s3_sa,S3 / SA,S3,SA,engineering_feasible,7.050000,7.050000,0.000000,7,8,6,7,23.834000,0.009036135860,3526282.500000000000,7742.773502
3,s2_sa,S2 / SA,S2,SA,engineering_feasible,7.500000,7.500000,0.000000,5,11,8,9,24.549000,0.009967667982,3818229.250000000000,7744.009829
4,s3_pso,S3 / PSO,S3,PSO,engineering_feasible,9.650000,9.650000,0.000000,11,10,7,8,23.496000,0.009850465693,3793974.750000000000,7743.335201
5,s2_bfgs,S2 / BFGS,S2,BFGS,engineering_feasible,9.850000,9.850000,0.000000,9,14,10,3,23.563000,0.010202251375,3867362.000000000000,7741.672759
6,s3_bfgs,S3 / BFGS,S3,BFGS,engineering_feasible,9.950000,9.950000,0.000000,10,13,9,4,23.529000,0.010152853094,3833903.000000000000,7741.691824
7,s6_bfgs,S6 / BFGS,S6,BFGS,engineering_feasible,10.150000,10.150000,0.000000,4,17,18,5,24.772000,0.010522365570,5312105.000000000000,7741.717219
8,s1_pso,S1 / PSO,S1,PSO,engineering_feasible,10.150000,10.150000,0.000000,17,2,1,18,21.300000,0.004125629086,2243798.750000000000,7804.557658
9,s5_bfgs,S5 / BFGS,S5,BFGS,engineering_feasible,10.600000,10.600000,0.000000,13,7,12,6,22.725000,0.008695249446,4148099.250000000000,7742.564312
10,s4_bfgs,S4 / BFGS,S4,BFGS,engineering_feasible,10.800000,10.800000,0.000000,19,1,3,14,20.267000,0.003830735339,2281516.250000000000,7779.854558
11,s1_sa,S1 / SA,S1,SA,engineering_feasible,10.950000,10.950000,0.000000,16,5,5,15,21.481000,0.004627135117,2368479.500000000000,7780.730870
12,s4_sa,S4 / SA,S4,SA,engineering_feasible,12.100000,12.100000,0.000000,20,4,4,13,19.753000,0.004286723677,2296242.500000000000,7769.884472
13,s5_sa,S5 / SA,S5,SA,engineering_feasible,13.350000,13.350000,0.000000,12,15,15,12,23.232000,0.010228931904,4641823.500000000000,7749.523844
14,s6_pso,S6 / PSO,S6,PSO,engineering_feasible,16.600000,16.600000,0.000000,15,19,20,11,21.611000,0.011907480657,6704670.500000000000,7748.252004
15,s5_pso,S5 / PSO,S5,PSO,engineering_feasible,18.150000,18.150000,0.000000,21,18,16,10,19.566000,0.011481010355,4940802.000000000000,7747.929445
16,s6_sa,S6 / SA,S6,SA,engineering_feasible,21.950000,21.950000,0.000000,23,22,22,17,19.128000,0.014269686304,7689902.000000000000,7783.240030
17,s7_sa,S7 / SA,S7,SA,mathematical_fallback,22.350000,12.350000,10.000000,2,21,21,20,26.587000,0.012540874071,6710908.500000000000,7890.852003
18,s7_pso,S7 / PSO,S7,PSO,mathematical_fallback,26.250000,16.250000,10.000000,8,23,23,23,23.712000,0.028467237949,9257718.000000000000,8324.248028
19,s8_pso,S8 / PSO,S8,PSO,warning_noncompliant,27.400000,7.400000,20.000000,1,9,13,21,27.335000,0.009235011414,4493025.000000000000,7899.070055
20,s8_sa,S8 / SA,S8,SA,warning_noncompliant,27.700000,7.700000,20.000000,6,6,17,1,23.837000,0.008162681945,4955121.000000000000,7718.267930
21,s1_bfgs,S1 / BFGS,S1,BFGS,warning_noncompliant,30.850000,10.850000,20.000000,18,3,2,16,20.907000,0.004264459480,2262164.500000000000,7782.005334
22,s2_pso,S2 / PSO,S2,PSO,mathematical_fallback,34.000000,24.000000,10.000000,24,24,24,24,-3.229100,0.094040453434,10268319.000000000000,9075.026775
23,s4_pso,S4 / PSO,S4,PSO,warning_noncompliant,36.300000,16.300000,20.000000,14,20,14,22,22.491000,0.012072882615,4541389.000000000000,7931.661396
24,s8_bfgs,S8 / BFGS,S8,BFGS,warning_noncompliant,39.600000,19.600000,20.000000,22,16,19,19,19.273000,0.010318976827,5446418.500000000000,7813.243532
