case_id,model_name,scenario_id,algorithm,selection_status,theta_divisions,rings,triangles,min_radius_m,max_radius_m,height_m,caps_included,stl_path
s1_bfgs,S1_BFGS,S1,BFGS,warning_noncompliant,180,11,3600,18.47472663121944,39.3,36.5,False,C:\Users\achille.larregle\OneDrive - ESTIA\Bureau\CRANFIELD\CRANFIELD COURSE\GroupProject2026\group_project\tasks\Task_07_Abaqus\results\models\stl\s1_bfgs.stl
s1_pso,S1_PSO,S1,PSO,engineering_feasible,180,11,3600,18.030547593949684,39.3,36.5,False,C:\Users\achille.larregle\OneDrive - ESTIA\Bureau\CRANFIELD\CRANFIELD COURSE\GroupProject2026\group_project\tasks\Task_07_Abaqus\results\models\stl\s1_pso.stl
s1_sa,S1_SA,S1,SA,engineering_feasible,180,11,3600,18.48782502405039,39.3,36.5,False,C:\Users\achille.larregle\OneDrive - ESTIA\Bureau\CRANFIELD\CRANFIELD COURSE\GroupProject2026\group_project\tasks\Task_07_Abaqus\results\models\stl\s1_sa.stl
s2_bfgs,S2_BFGS,S2,BFGS,engineering_feasible,180,11,3600,19.879261089400973,39.3,36.5,False,C:\Users\achille.larregle\OneDrive - ESTIA\Bureau\CRANFIELD\CRANFIELD COURSE\GroupProject2026\group_project\tasks\Task_07_Abaqus\results\models\stl\s2_bfgs.stl
s2_pso,S2_PSO,S2,PSO,mathematical_fallback,180,11,3600,5.0,39.3,36.5,False,C:\Users\achille.larregle\OneDrive - ESTIA\Bureau\CRANFIELD\CRANFIELD COURSE\GroupProject2026\group_project\tasks\Task_07_Abaqus\results\models\stl\s2_pso.stl
s2_sa,S2_SA,S2,SA,engineering_feasible,180,11,3600,19.719592091589504,39.3,36.5,False,C:\Users\achille.larregle\OneDrive - ESTIA\Bureau\CRANFIELD\CRANFIELD COURSE\GroupProject2026\group_project\tasks\Task_07_Abaqus\results\models\stl\s2_sa.stl
s3_bfgs,S3_BFGS,S3,BFGS,engineering_feasible,180,11,3600,19.878164172568248,39.3,36.5,False,C:\Users\achille.larregle\OneDrive - ESTIA\Bureau\CRANFIELD\CRANFIELD COURSE\GroupProject2026\group_project\tasks\Task_07_Abaqus\results\models\stl\s3_bfgs.stl
s3_pso,S3_PSO,S3,PSO,engineering_feasible,180,11,3600,19.7369419211162,39.3,36.5,False,C:\Users\achille.larregle\OneDrive - ESTIA\Bureau\CRANFIELD\CRANFIELD COURSE\GroupProject2026\group_project\tasks\Task_07_Abaqus\results\models\stl\s3_pso.stl
s3_sa,S3_SA,S3,SA,engineering_feasible,180,11,3600,19.888830347077953,39.3,36.5,False,C:\Users\achille.larregle\OneDrive - ESTIA\Bureau\CRANFIELD\CRANFIELD COURSE\GroupProject2026\group_project\tasks\Task_07_Abaqus\results\models\stl\s3_sa.stl
s4_bfgs,S4_BFGS,S4,BFGS,engineering_feasible,180,13,4320,18.46843251319855,39.3,36.5,False,C:\Users\achille.larregle\OneDrive - ESTIA\Bureau\CRANFIELD\CRANFIELD COURSE\GroupProject2026\group_project\tasks\Task_07_Abaqus\results\models\stl\s4_bfgs.stl
s4_pso,S4_PSO,S4,PSO,warning_noncompliant,180,13,4320,17.882822489069014,39.3,36.5,False,C:\Users\achille.larregle\OneDrive - ESTIA\Bureau\CRANFIELD\CRANFIELD COURSE\GroupProject2026\group_project\tasks\Task_07_Abaqus\results\models\stl\s4_pso.stl
s4_sa,S4_SA,S4,SA,engineering_feasible,180,13,4320,18.86733224930139,39.3,36.5,False,C:\Users\achille.larregle\OneDrive - ESTIA\Bureau\CRANFIELD\CRANFIELD COURSE\GroupProject2026\group_project\tasks\Task_07_Abaqus\results\models\stl\s4_sa.stl
s5_bfgs,S5_BFGS,S5,BFGS,engineering_feasible,180,11,3600,20.15,39.3,36.49680739672068,False,C:\Users\achille.larregle\OneDrive - ESTIA\Bureau\CRANFIELD\CRANFIELD COURSE\GroupProject2026\group_project\tasks\Task_07_Abaqus\results\models\stl\s5_bfgs.stl
s5_pso,S5_PSO,S5,PSO,engineering_feasible,180,11,3600,20.15,39.3,36.49759422437373,False,C:\Users\achille.larregle\OneDrive - ESTIA\Bureau\CRANFIELD\CRANFIELD COURSE\GroupProject2026\group_project\tasks\Task_07_Abaqus\results\models\stl\s5_pso.stl
s5_sa,S5_SA,S5,SA,engineering_feasible,180,11,3600,20.15,39.3,36.49415310066867,False,C:\Users\achille.larregle\OneDrive - ESTIA\Bureau\CRANFIELD\CRANFIELD COURSE\GroupProject2026\group_project\tasks\Task_07_Abaqus\results\models\stl\s5_sa.stl
s6_bfgs,S6_BFGS,S6,BFGS,engineering_feasible,180,11,3600,20.15,39.3,36.496849446280315,False,C:\Users\achille.larregle\OneDrive - ESTIA\Bureau\CRANFIELD\CRANFIELD COURSE\GroupProject2026\group_project\tasks\Task_07_Abaqus\results\models\stl\s6_bfgs.stl
s6_pso,S6_PSO,S6,PSO,engineering_feasible,180,11,3600,20.15,39.3,36.49786919667546,False,C:\Users\achille.larregle\OneDrive - ESTIA\Bureau\CRANFIELD\CRANFIELD COURSE\GroupProject2026\group_project\tasks\Task_07_Abaqus\results\models\stl\s6_pso.stl
s6_sa,S6_SA,S6,SA,engineering_feasible,180,11,3600,20.15,39.3,36.503270452014974,False,C:\Users\achille.larregle\OneDrive - ESTIA\Bureau\CRANFIELD\CRANFIELD COURSE\GroupProject2026\group_project\tasks\Task_07_Abaqus\results\models\stl\s6_sa.stl
s7_bfgs,S7_BFGS,S7,BFGS,engineering_feasible,180,11,3600,19.91913122550268,39.3,36.496904319317416,False,C:\Users\achille.larregle\OneDrive - ESTIA\Bureau\CRANFIELD\CRANFIELD COURSE\GroupProject2026\group_project\tasks\Task_07_Abaqus\results\models\stl\s7_bfgs.stl
s7_pso,S7_PSO,S7,PSO,mathematical_fallback,180,11,3600,13.54102161581246,39.3,36.496635326592795,False,C:\Users\achille.larregle\OneDrive - ESTIA\Bureau\CRANFIELD\CRANFIELD COURSE\GroupProject2026\group_project\tasks\Task_07_Abaqus\results\models\stl\s7_pso.stl
s7_sa,S7_SA,S7,SA,mathematical_fallback,180,11,3600,18.114221524346338,39.3,36.48259435655887,False,C:\Users\achille.larregle\OneDrive - ESTIA\Bureau\CRANFIELD\CRANFIELD COURSE\GroupProject2026\group_project\tasks\Task_07_Abaqus\results\models\stl\s7_sa.stl
s8_bfgs,S8_BFGS,S8,BFGS,warning_noncompliant,180,11,3600,26.442169186768368,39.3,36.402033863398806,False,C:\Users\achille.larregle\OneDrive - ESTIA\Bureau\CRANFIELD\CRANFIELD COURSE\GroupProject2026\group_project\tasks\Task_07_Abaqus\results\models\stl\s8_bfgs.stl
s8_pso,S8_PSO,S8,PSO,warning_noncompliant,180,11,3600,24.189414521439343,39.3,37.08282565496833,False,C:\Users\achille.larregle\OneDrive - ESTIA\Bureau\CRANFIELD\CRANFIELD COURSE\GroupProject2026\group_project\tasks\Task_07_Abaqus\results\models\stl\s8_pso.stl
s8_sa,S8_SA,S8,SA,warning_noncompliant,180,11,3600,25.87929017522529,39.3,36.41896524710019,False,C:\Users\achille.larregle\OneDrive - ESTIA\Bureau\CRANFIELD\CRANFIELD COURSE\GroupProject2026\group_project\tasks\Task_07_Abaqus\results\models\stl\s8_sa.stl
